mtype,tokens,label
SCAL,"['2']",1
FUNC,"['g', '(', 'x', ')', '=', '1', 'x', '^', '{', '1', '}']",1
SCAL,"['1', '/', '3', '^', '2']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', 'a', '^', '{', '-', '3', '}', '+', 'b', '^', '{', '-', '3', '}', '}', '{', 'a', '^', '{', '-', '2', '}', '-', 'b', '^', '{', '-', '2', '}', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']",1
FUNC,"['f']",1
SCAL,"['0']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['9']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '-', '6', 'x', '-', '7']",1
SCAL,"['f', '(', 'z', ')']",1
SCAL,"['\\frac', '{', '1', '}', '{', '3', '}']",1
FUNC,"['f']",1
FUNC,"['\ln']",1
FUNC,"['r', '(', 'x', ')', '=', '1', '/', 'x']",1
SCAL,"['1']",1
SCAL,"['3']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['F']",1
SCAL,"['1']",1
SCAL,"['0', '3']",1
SCAL,"['p', '+', 'q', '+', 'r']",1
FUNC,"['f', '(', 'x', ')', '=', '2']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['1', '/', '2']",1
FUNC,"['f', '\\colon', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '(', 'x', '+', '1', ')', '(', 'x', '-', '1', ')', '}', '{', '(', 'x', '+', '1', ')', '(', 'x', '+', '2', ')', '}']",1
SCAL,"['1']",1
SCAL,"['4', '-', 'x']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['n', '(', 'n', '+', '1', ')', '(', '2', 'n', '+', '1', ')']",1
FUNC,"['g', '(', 'x', ')', '=', '2']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['x', '^', '{', 'n', '}']",1
FUNC,"['x']",1
FUNC,"['f']",1
FUNC,"['f', '\\circ', 'g']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
FUNC,"['f']",1
FUNC,"['A']",1
FUNC,"['f']",1
FUNC,"['g']",1
SCAL,"['\\frac', '{', '4', '}', '{', '5', '}']",1
SCAL,"['2']",1
FUNC,"['f']",1
SCAL,"['2', '^', '{', '1', '}']",1
FUNC,"['y', '(', 'm', ')', '=', 'm', '+', '7']",1
FUNC,"['\ln']",1
SCAL,"['0']",1
SCAL,"['x', '^', '2', '-', '7']",1
SCAL,"['3']",1
SCAL,"['\\dfrac', '{', 'x', '^', 'a', '}', '{', 'x', '^', 'b', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '+', '3', '}', '{', 'x', '+', '1', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '(', '5', '-', 'x', ')', '^', '{', '1', '/', '4', '}', '+', '(', 'x', '+', '4', ')', '^', '{', '1', '/', '4', '}']",1
SCAL,"['2', '^', '{', '2', 'n', '+', '1', '}']",1
FUNC,"['\arcsin']",1
FUNC,"['h']",1
SCAL,"['2']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '3', '+', 'b', 'x', '^', '2', '+', 'c', 'x', '+', 'd']",1
SCAL,"['1']",1
SCAL,"['2']",1
SCAL,"['-', '6']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c']",1
SCAL,"['1']",1
SCAL,"['x', '-', '1']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', 'n', '(', 'n', '+', '1', ')', '}', '{', '2', '}']",1
SCAL,"['2']",1
FUNC,"['C']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x', '-', 'x', '^', '2']",1
SCAL,"['f', '(', 'n', ')']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '3', '^', 'x']",1
FUNC,"['g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f', ':', 'X', '\\to', '\\mathbb', 'R']",1
SCAL,"['1']",1
SCAL,"['4']",1
FUNC,"['f']",1
SCAL,"['3']",1
FUNC,"['f']",1
SCAL,"['6']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '^', 'x', '-', '1', '-', '^', 'x']",1
SCAL,"['4']",1
FUNC,"['x']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['x']",1
SCAL,"['3', '/', '1']",1
SCAL,"['2']",1
SCAL,"['0']",1
SCAL,"['x', '-', '1']",1
SCAL,"['-', '1']",1
FUNC,"['g', '(', 'x', ')', '=', '\\frac', '{', 'x', '+', '3', '}', '{', 'x', '-', '4', '}']",1
SCAL,"['\\frac', '{', '5', 'a', 'b', '}', '{', '1', 'b', '}']",1
SCAL,"['p', '/', 'q']",1
SCAL,"['2']",1
SCAL,"['9']",1
FUNC,"['f']",1
SCAL,"['x', '^', '{', '4', '/', '2', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', 'x', '+', '2', 'e', '^', '{', '2', 'x', '}']",1
SCAL,"['a', '+', 'b', 'i']",1
FUNC,"['i', ':', 'Y', '\\to', 'X']",1
SET,"['(', '1', ',', '2', ')']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '-', '6', '-', 'x']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['p', '(', 'z', ')']",1
SCAL,"['(', '1', 'x', '+', '1', 'h', '+', '3', ')', '(', '1', 'x', '+', '3', ')']",1
SCAL,"['5']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '-', '1', '}', '{', 'x', '^', '2', '-', '4', '}']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', '6', 'x', '-', '1']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['S']",1
SCAL,"['a', '+', 'b', 'i']",1
SCAL,"['6']",1
SCAL,"['9', '\\cdot', '1', '\\cdot', '1', '\\cdot', '1', '\\cdot', '1']",1
SCAL,"['1', '/', '5']",1
FUNC,"['f', ',', 'g', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}']",1
SCAL,"['-', '1']",1
FUNC,"['f', '\\colon', 'M', '\\to', 'R']",1
SCAL,"['1', '-', 'x']",1
SCAL,"['0']",1
FUNC,"['g', '\\colon', 'Y', '\\to', 'X']",1
SCAL,"['6']",1
FUNC,"['f']",1
SCAL,"['2']",1
FUNC,"['y']",1
FUNC,"['f']",1
FUNC,"['\cos']",1
FUNC,"['f']",1
FUNC,"['k']",1
SCAL,"['1']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '3', '^', 'x', '+', '2', '^', 'x']",1
SCAL,"['1']",1
FUNC,"['g']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']",1
FUNC,"['f', '(', 'x', ')', '=', '1', '-', 'e', '^', '{', '-', 'x', '}']",1
FUNC,"['U']",1
FUNC,"['f', '(', 'x', ')', '=', '-', '2', 'x', '^', '2', '+', '5']",1
FUNC,"['p']",1
SCAL,"['1']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['a', '-', '1']",1
SCAL,"['1']",1
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', '\\mathbb', 'N']",1
FUNC,"['b', '(', 'x', ')', '=', 'b', '^', 'x']",1
FUNC,"['f']",1
FUNC,"['\\sin', '\\circ', '\\arcsin']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['^', '2', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', '(', 'x', '+', '4', ')', '^', '3']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['1', 'x', '+', 'y']",1
FUNC,"['f']",1
SCAL,"['-', '1']",1
SCAL,"['1']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']",1
FUNC,"['u']",1
SCAL,"['\\frac', '{', '1', '}', '{', '2', '}']",1
FUNC,"['p', '(', 'x', ')', '=', 'x', '+', '2']",1
SCAL,"['1']",1
SCAL,"['(', '1', ')']",1
FUNC,"['f', '(', 'x', ')', '=', '9', '^', 'x', '-', '6', '^', 'x', '-', '2', '^', 'x']",1
SCAL,"['1']",1
FUNC,"['y', ':', '\\mathbb{R}', '\\to', '\\{', '3', '\\}']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']",1
SCAL,"['9']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['0']",1
FUNC,"['W']",1
SCAL,"['1']",1
SCAL,"['2']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']",1
FUNC,"['g']",1
SCAL,"['1']",1
SCAL,"['9']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['\\frac', '{', '1', '}', '{', '2', '}']",1
FUNC,"['f']",1
SCAL,"['2']",1
FUNC,"['k', '(', 'x', ')', '=', 'h', '(', 'x', ')', '+', '2']",1
FUNC,"['f', '(', 'y', ')', '=', '\\frac', '{', 'y', '^', '3', '+', '1', '}', '{', '2', '}']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', '\\cdot', 'x', '+', 'b']",1
FUNC,"['f', '(', 'a', ')', '=', 'a', '^', '2', '+', '\\frac', '{', '1', '}', '{', 'a', '^', 'a', '-', 'a', '+', '1', '}', '-', 'a', '-', '1']",1
SCAL,"['0']",1
FUNC,"['g']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '5', '-', '1', 'x', '^', '3', '+', '1', 'x', '+', '1']",1
SCAL,"['\\frac', '{', '1', '}', '{', '2', '^', 'n', '}']",1
FUNC,"['h', '(', 'x', ')', '=', 'f', '(', 'x', ')', '-', 'g', '(', 'x', ')']",1
SCAL,"['2']",1
SCAL,"['0']",1
FUNC,"['f', '\\circ', 'g']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', 'n']",1
FUNC,"['g', '(', 'x', ')', '=', '-', 'x', '^', '{', '1', '}', '-', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '-', 'a', 'x', '+', 'a', '^', 'x', '-', '3']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '/', '(', 'x', '^', '2', '+', '1', ')']",1
SCAL,"['1']",1
SET,"['\\{', '0', ',', '1', ',', '2', ',', '3', ',', '4', '\\}']",1
SET,"['\mathbb{Z}']",1
SCAL,"['\\frac', '{', 't', '^', '4', '-', '1', '}', '{', 't', '^', '2', '-', 't', '^', '6', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '-', '3', 'x', '^', '4', '-', '4', 'x', '^', '3', '+', '4', 'x', '^', '2', '+', '9', 'x', '-', '6']",1
SCAL,"['4', 'a', '^', '{', '3', '}', 'b']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '{', '2', 'p', '-', '1', '}']",1
SCAL,"['1', '^', '{', '\\frac', '{', '1', '}', '{', '2', '}', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', 'x', '-', '1', '}', '{', 'p', '-', 'x', '^', '2', '+', '1', '}']",1
FUNC,"['r', '(', 'x', ')', '=', '\\frac', '{', '(', 'x', '^', '2', '+', 'x', ')', '}', '{', '(', 'x', '+', '1', ')', '(', '2', 'x', '-', '4', ')', '}']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f', '(', 't', ')', '=', '-', 'e', '^', '{', '-', 't', '/', '4', '5', '}', '-', 't', '+', '3', '4']",1
FUNC,"['f', '\\colon', '\\mathbb{N}', '\\to', 'X', '\\cup', 'Y']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['4', 'a', 'c']",1
SCAL,"['5']",1
SCAL,"['s', '^', '2', '-', '(', 'a', '+', 'b', ')', 's', '+', 'a', 'b']",1
SCAL,"['4', 'k', '+', '1']",1
FUNC,"['z']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', '^', 'x']",1
FUNC,"['g', '(', 'x', ')', '=', 'x', '^', '5', '-', '3', 'x', '^', '4', '+', '2', 'x', '^', '2', '-', '1', 'x', '-', '2']",1
FUNC,"['f']",1
FUNC,"['\\exp', '(', 'x', ')', '=', 'e', '^', 'x']",1
SCAL,"['(', '5', 'a', '+', '4', ')', 'p', '^', '2', '+', '(', '5', 'b', '+', '3', ')', 'p', '+', '2', 'c']",1
SCAL,"['3', 'x']",1
FUNC,"['h']",1
SCAL,"['4']",1
SCAL,"['\\frac', '{', 'm', '}', '{', 'n', '}']",1
FUNC,"['g']",1
SCAL,"['n', '^', '2']",1
SCAL,"['2', '^', '{', '2', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', 'n']",1
SCAL,"['-', 'k', '^', '2']",1
SCAL,"['0', '7']",1
SCAL,"['a', '^', '{', '-', '1', '}']",1
SCAL,"['-', '1']",1
FUNC,"['f', '(', 'x', ')', '=', '9', '^', 'x', '-', '4', '^', 'x', '-', '7', '^', 'x']",1
SCAL,"['1']",1
SCAL,"['l', 'n']",1
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', '2', 'x', '^', '2', '+', '2', 'x', 'y', '-', 'y', '^', '3']",1
FUNC,"['f']",1
FUNC,"['g']",1
FUNC,"['g']",1
SCAL,"['p', '/', 'a']",1
SCAL,"['\\frac', '{', '8', '}', '{', '7', '}']",1
FUNC,"['r', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '}', '{', 'x', '}']",1
SCAL,"['-', '2']",1
FUNC,"['f', '(', 'a', ',', 'b', ')', '=', '\\frac', '{', '9', 'a', '+', 'b', '}', '{', 'a', '+', 'b', '}']",1
FUNC,"['f']",1
SCAL,"['-', '6']",1
FUNC,"['f']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', '4', 'x', '+', '7', '}', '{', '(', '6', 'x', ')', '^', '2', '-', '5', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'm', 'x', '+', 'b']",1
FUNC,"['f', ':', '\\mathbb', 'Z', '^', '2', '\\to', '[', '0', ',', '1', ']']",1
FUNC,"['g', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '+', '2', 'z', '^', '2', '-', '6']",1
SCAL,"['5']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['0']",1
FUNC,"['R']",1
SCAL,"['0']",1
SCAL,"['3']",1
FUNC,"['F', '(', 'x', ')', '=', 'f', '(', 'x', ')', '-', 'y']",1
SCAL,"['1']",1
SCAL,"['4', 'n', '^', '2']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', '(', 'x', '-', '3', ')', '^', '\\frac', '{', '1', '}', '{', '2', '}']",1
FUNC,"['f', ':', 'N', '\\to', 'N']",1
FUNC,"['f']",1
FUNC,"['g', '\\circ', 'f']",1
FUNC,"['t']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3', '+', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', '3', 'x', '}', '{', '1', '}', '-', '\\dfrac', '{', '1', 'x', '^', '2', '}', '{', '1', '}', '+', '\\dfrac', '{', '3', 'x', '^', '3', '}', '{', '4', '}', '-', '\\dfrac', '{', '4', 'x', '^', '4', '}', '{', '1', '}', '+', '\\dfrac', '{', '9', 'x', '^', '5', '}', '{', '1', '}', '-', '\\dfrac', '{', '9', 'x', '^', '6', '}', '{', '8', '}', '+', '\\dfrac', '{', '2', 'x', '^', '7', '}', '{', '3', '}', '-', '\\dfrac', '{', '3', 'x', '^', '8', '}', '{', '1', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '+', 'x', '-', '2', '}', '{', 'x', '^', '2', '-', 'x', '-', '2', '}']",1
SCAL,"['1', '^', '{', 'k', '-', '1', '}']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x']",1
SCAL,"['-', '2']",1
FUNC,"['c']",1
FUNC,"['f', ':', '[', '0', ',', '1', ']', '\\to', '\\mathbb{R}']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']",1
SCAL,"['6']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '6', '\\frac', '{', '1', '+', 'x', '}', '{', '7', '+', 'x', '}']",1
SCAL,"['x', '-', '1']",1
SCAL,"['4']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '+', 'a', 'x', '+', 'b', '}', '{', 'x', '^', '2', '+', '2', 'x', '+', '3', '}']",1
SCAL,"['\\frac', '{', '1', '}', '{', '1', '}']",1
FUNC,"['g']",1
SCAL,"['1', '+', 'i']",1
FUNC,"['W']",1
SCAL,"['-', '1', '+', 'i']",1
SCAL,"['1']",1
FUNC,"['g', '(', 'x', ')', '=', 'f', '(', '5', '+', 'x', ')']",1
FUNC,"['\sin']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '-', 'x', '}', '{', '1', '+', 'x', '}']",1
FUNC,"['f', '(', 'n', ')', '=', '\\dfrac', '{', '4', '^', 'n', '-', '1', '}', '{', 'n', '-', '1', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '+', 'b', '+', '\\frac', '{', '1', '}', '{', 'x', '+', '1', '}']",1
FUNC,"['G']",1
SCAL,"['x', '^', '2']",1
SCAL,"['\\binom', '{', '1', '}', '{', '4', '}']",1
FUNC,"['g']",1
SCAL,"['(', '1', '+', 't', ')', '^', '{', 'n', '}']",1
FUNC,"['f']",1
FUNC,"['y']",1
SCAL,"['x', '^', '{', 'm', 'n', '}', '-', '1']",1
SCAL,"['1']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', 'a', '+', 'b', '}', '{', '2', '}', '-', '\\frac', '{', '(', 'a', '-', 'b', ')', '^', '2', '}', '{', '4', '(', 'a', '+', 'b', ')', '}']",1
SCAL,"['f', '(', 'x', ')']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']",1
SCAL,"['2', 'a']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', '\\frac', '{', 'b', '}', '{', 'x', '}']",1
SCAL,"['e', '^', '{', '-', 'x', '}']",1
FUNC,"['h']",1
SCAL,"['0']",1
SCAL,"['y', '/', 'n']",1
FUNC,"['h']",1
SCAL,"['0']",1
SCAL,"['2']",1
SCAL,"['8']",1
SCAL,"['2']",1
FUNC,"['g']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'a', ',', 'b', ',', 'c', ')', '=', '\\dfrac', '{', 'a', '^', '2', '}', '{', '2', '}', '+', '\\dfrac', '{', 'b', '^', '3', '}', '{', '3', '}', '+', '\\dfrac', '{', 'c', '^', '6', '}', '{', '6', '}', '-', 'a', 'b', 'c']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['1']",1
SCAL,"['2']",1
SCAL,"['1']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '{', '\\frac', '{', '2', '}', '{', '3', '}', '}', '-', '\\frac', '{', '2', '}', '{', 'x', '^', '{', '\\frac', '{', '1', '}', '{', '3', '}', '}', '}', '+', '1']",1
FUNC,"['f']",1
SET,"['\\mathbb{R}', '\\times', '\\mathbb{R}']",1
FUNC,"['g']",1
SET,"['\\{', '0', '\\}']",1
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '+', 'y']",1
SCAL,"['x', '-', '2']",1
FUNC,"['z']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f']",1
FUNC,"['g']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['n', '^', '2']",1
SCAL,"['\\dfrac', '{', 'x', '^', '3', 'y', '^', '2', '}', '{', 'x', 'y', '^', '5', '}']",1
SCAL,"['8']",1
FUNC,"['F']",1
SCAL,"['6']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['3']",1
SCAL,"['\\frac', '{', '6', '}', '{', '1', '}']",1
FUNC,"['f']",1
FUNC,"['T']",1
SCAL,"['5']",1
FUNC,"['h']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f', '(', 'x', ')', '=', '-', 'x']",1
FUNC,"['g']",1
SCAL,"['0']",1
SCAL,"['1', '/', '7']",1
FUNC,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['g']",1
FUNC,"['g']",1
FUNC,"['x']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '3', 'x', '-', '4', '}', '{', 'x', '^', '2', '-', '2', 'x', '}']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['m', '2', '^', 'e']",1
FUNC,"['f']",1
SCAL,"['6']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', 'n']",1
SCAL,"['a', '+', 'b']",1
SCAL,"['1']",1
SCAL,"['2']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['4', '^', '{', '1', '/', '5', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'k', 'x', '^', '2']",1
FUNC,"['g', '(', 'x', ')', '=', 'x', '^', '2']",1
SCAL,"['6']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', 'x', '-', 'm', 'x', '-', 'b']",1
SCAL,"['\\dfrac', '{', '\\frac', '{', 'a', 'd', '}', '{', 'c', '}', '}', '{', 'c', 'k', '+', 'd', '}']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'n', ')', '=', '2', '^', '{', '3', '^', 'n', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '(', '5', '-', 'x', ')']",1
FUNC,"['A']",1
SCAL,"['n', '^', '{', '-', '3', '/', '2', '}']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '9', 'x', '+', '5', '}', '{', 'x', '+', '4', '}']",1
FUNC,"['f']",1
FUNC,"['F']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['a', 'b', 'c', 'd', 'e']",1
SCAL,"['0']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['x']",1
SCAL,"['w', '+', 'z']",1
FUNC,"['g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', 'a', '}', '{', 'b', '/', 'x', '}']",1
SCAL,"['x', '^', '2', '+', 'x']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['3']",1
FUNC,"['f', ':', 'A', '\\to', '\\mathbb{R}']",1
SCAL,"['2']",1
SCAL,"['x', '^', '2']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['X']",1
FUNC,"['P']",1
FUNC,"['f']",1
SCAL,"['0']",1
SET,"['\\{', '1', ',', '4', '\\}']",1
SET,"['\\{', '0', ',', '1', ',', '2', '\\}']",1
SCAL,"['\\frac', '{', 'a', '-', 'x', '}', '{', 'b', '-', 'x', '}']",1
SCAL,"['9']",1
SCAL,"['n', '+', 'p']",1
SCAL,"['\\frac', '{', 'a', 'b', '+', 'c', 'a', '}', '{', 'a', '^', '2', '+', 'a', 'b', '+', 'c', 'a', '}']",1
FUNC,"['n']",1
FUNC,"['f']",1
SCAL,"['4']",1
SET,"['\\{', '0', ',', '1', '\\}']",1
SCAL,"['-', 'b']",1
SCAL,"['2']",1
SCAL,"['3']",1
SCAL,"['1']",1
SCAL,"['-', '2']",1
FUNC,"['g']",1
FUNC,"['v']",1
SCAL,"['1']",1
SCAL,"['b', '^', '2', '-', '4', 'a', 'c']",1
SCAL,"['n', '^', '2', '+', '(', 'n', '+', '1', ')', '^', '2']",1
SCAL,"['0']",1
FUNC,"['f']",1
FUNC,"['f', ':', '[', 'a', ',', 'b', ']', '\\to', '\\mathbb', 'R']",1
SCAL,"['3']",1
SCAL,"['f', '(', 'n', ')']",1
SCAL,"['8']",1
FUNC,"['f']",1
SCAL,"['2']",1
FUNC,"['c', '(', '2', ',', '2', ')', '=', '2']",1
SCAL,"['3']",1
SCAL,"['b', '^', '2', '-', '4', 'a', 'c']",1
SCAL,"['(', 'x', '-', '2', ')']",1
SCAL,"['7']",1
FUNC,"['F']",1
SCAL,"['1']",1
SCAL,"['0']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '(', 'x', '-', '1', ')', '(', 'x', '-', '2', ')', '}', '{', '(', 'x', '(', 'x', '+', '2', ')', '(', 'x', '-', '3', ')', ')', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '2']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['5']",1
SCAL,"['3']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', '-', '2', 'x', '^', '2', '+', '4', 'x', '+', '3']",1
SCAL,"['f', '(', '2', '^', 'm', ')']",1
FUNC,"['f']",1
SCAL,"['(', 'n', '+', '1', ')', '(', 'k', '+', '1', ')']",1
FUNC,"['P']",1
SCAL,"['1']",1
SCAL,"['(', '1', ')', '^', '{', 'n', '}']",1
SCAL,"['8']",1
SCAL,"['\\frac', '{', '1', '}', '{', '6', '}', '(', '(', 'a', '-', 'b', ')', '^', '2', '+', '(', 'b', '-', 'c', ')', '^', '2', '+', '(', 'c', '-', 'a', ')', '^', '2', ')']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '7', 'x', '+', '4', '}', '{', 'x', '+', '6', '}']",1
FUNC,"['h']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x', '-', 'x', '^', '2']",1
SCAL,"['\\frac', '{', '2', '}', '{', '2', 'x', '+', '6', '}']",1
SCAL,"['1', 'x', '+', 'y']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', '1', '}', '{', 'x', '+', '2', '}']",1
FUNC,"['\mathbb{Q}']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['g', '(', 'x', ')', '=', 'f', '^', '{', 'n', '}', '(', 'x', '+', '1', ')']",1
SCAL,"['1']",1
SCAL,"['3']",1
FUNC,"['h', '(', 'x', ')', '=', 'f', '(', 'g', '(', 'x', ')', ')']",1
SCAL,"['2']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '-', '1']",1
SCAL,"['\\frac', '{', '1', '}', '{', '2', '}']",1
SCAL,"['\\frac', '{', 'a', '+', 'b', '}', '{', 'c', '+', 'd', '}']",1
SCAL,"['a', 'b']",1
