mtype,tokens,type_tokens,labels,labels_str
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']","[17, 0, 40]","['elementary-number-theory', 'elementary-set-theory', 'proof-verification']"
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']","[17, 0, 40]","['elementary-number-theory', 'elementary-set-theory', 'proof-verification']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 5]","['elementary-set-theory', 'functions']"
FUNC,"['h', ':', 'B', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 5]","['elementary-set-theory', 'functions']"
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']","[17, 0, 40]","['elementary-number-theory', 'elementary-set-theory', 'proof-verification']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,\mathbb{R},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,"['\\{', '\\}']","['explset', 'L_BRACE_LITERAL', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\{', 'x', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['i', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['F', ':', 'P', '\\rightarrow', 'W']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['F', ':', 'P', '\\rightarrow', 'W']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 29]","['functions', 'elementary-set-theory', 'definition']"
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 29]","['functions', 'elementary-set-theory', 'definition']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 29]","['functions', 'elementary-set-theory', 'definition']"
FUNC,"['f', '\\circ', 'g', '\\circ', 'h']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['g', ':', 'C', '\\to', 'D']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['(', '0', ',', '1', ')']","['interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN']","[10, 24, 0]","['real-analysis', 'general-topology', 'elementary-set-theory']"
FUNC,"['h', ':', 'Z', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['k', ':', 'Z', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '(', 'x', ')', '=', '5', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']",[0],['elementary-set-theory']
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'S', '\\to', 'S', '^', 'n']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0', 'CARET', '__ANON_1']",[0],['elementary-set-theory']
FUNC,"['g', ':', 'S', '^', 'n', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['k', ':', 'Z', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['h', ':', 'S', '^', '2', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'CARET', '__ANON_3', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'S', '^', 'n', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['h', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\to', '\\{', '1', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SCAL,"['k', '/', '2']","['mp', '__ANON_1', 'DIV', 'expr_atom', '__ANON_3']",[0],['elementary-set-theory']
SCAL,"['1', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[0],['elementary-set-theory']
SCAL,"['1', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[0],['elementary-set-theory']
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['h', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['\\{', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[0, 20]","['elementary-set-theory', 'logic']"
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['i', ':', '\\mathbb{Q}', '\\rightarrow', '\\mathbb{Q}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[24, 5, 0, 29]","['general-topology', 'functions', 'elementary-set-theory', 'definition']"
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '2', '^', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', '__ANON_3', 'CARET', 'set_constant', 'SET_BASIC']","[0, 40, 21]","['elementary-set-theory', 'proof-verification', 'cardinals']"
SET,"['\\{', '1', ',', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[30, 5, 0, 94]","['combinatorics', 'functions', 'elementary-set-theory', 'solution-verification']"
SET,"['A', '\\times', 'B']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']","[0, 16]","['elementary-set-theory', 'relations']"
FUNC,"['f', ':', 'A', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 11]","['elementary-set-theory', 'induction']"
SET,\varnothing,set_constant,[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['X', '\\times', 'Y']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']","[5, 0, 29, 80]","['functions', 'elementary-set-theory', 'definition', 'elementary-functions']"
SET,"['2', '^', 'S']","['set_expr', '__ANON_3', 'CARET', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[5, 0, 20]","['functions', 'elementary-set-theory', 'logic']"
SET,"['X', '^', 'X']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['g', ':', 'X', '\\rightarrow', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['g', ':', 'X', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['f', ',', 'g', ':', 'A', '\\to', 'A']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[30, 5, 0]","['combinatorics', 'functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[30, 5, 0]","['combinatorics', 'functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['g', ':', 'C', '\\to', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'W', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","[10, 30, 0]","['real-analysis', 'combinatorics', 'elementary-set-theory']"
SCAL,"['f', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'W', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","[10, 30, 0]","['real-analysis', 'combinatorics', 'elementary-set-theory']"
SET,"['\\{', 'a', ',', 'b', ',', 'c', ',', 'd', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[24, 0]","['general-topology', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\times', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']","[0, 20, 56]","['elementary-set-theory', 'logic', 'proof-explanation']"
FUNC,"['g', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 20, 56]","['elementary-set-theory', 'logic', 'proof-explanation']"
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 40]","['elementary-set-theory', 'proof-verification']"
FUNC,"['f', ':', 'A', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['A', '\\times', 'B']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 20, 56]","['elementary-set-theory', 'logic', 'proof-explanation']"
FUNC,"['f', ':', 'B', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
SET,"['X', '\\times', 'Y']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['g', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 20, 56]","['elementary-set-theory', 'logic', 'proof-explanation']"
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']","[0, 40]","['elementary-set-theory', 'proof-verification']"
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\mathbb{Q}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['\\{', 'a', ',', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[8, 0]","['discrete-mathematics', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[5, 8, 0]","['functions', 'discrete-mathematics', 'elementary-set-theory']"
SET,"['\\{', 'a', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['i', ':', 'E', '\\to', '\\mathbb{Q}', '\\times', '\\mathbb{Q}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', 'set_constant', 'SET_BASIC']","[10, 24, 0]","['real-analysis', 'general-topology', 'elementary-set-theory']"
SET,"['R', '^', '3']","['set_expr', '__ANON_0', 'CARET', '__ANON_3']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,"['\\mathbb', 'R', '^', '3']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,"['\\{', '1', ',', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\{', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\{', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['2', '^', 'Y']","['set_expr', '__ANON_3', 'CARET', '__ANON_0']","[5, 0, 15]","['functions', 'elementary-set-theory', 'notation']"
FUNC,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}', '\\times', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', 'set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\times', 'B', '\\rightarrow', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\times', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 94]","['functions', 'elementary-set-theory', 'solution-verification']"
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 94]","['functions', 'elementary-set-theory', 'solution-verification']"
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
FUNC,"['f', ':', '\\{', '1', ',', '2', '\\}', '\\to', '\\{', '1', ',', '2', ',', 'a', ',', 'b', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SCAL,"['1', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[0],['elementary-set-theory']
SET,"['(', 'a', ',', 'b', ')']","['interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']",[0],['elementary-set-theory']
SCAL,"['4', '+', '(', '1', '\\times', '1', '1', ')', '+', '(', '1', '0', '\\times', '1', '1', '^', '2', ')', '+', '(', '4', '\\times', '1', '1', '^', '3', ')', '+', '(', '1', '0', '\\times', '1', '1', '^', '4', ')', '+', '(', '7', '\\times', '1', '1', '^', '5', ')']","['additive', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'group', 'L_PAREN', 'mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'ADD', 'additive', 'group', 'L_PAREN', 'mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'ADD', 'group', 'L_PAREN', 'mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'ADD', 'additive', 'group', 'L_PAREN', 'mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'ADD', 'group', 'L_PAREN', 'mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN']",[0],['elementary-set-theory']
SCAL,"['x', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']",[0],['elementary-set-theory']
SET,"['[', '2', ',', '3', ']']","['interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","[0, 94]","['elementary-set-theory', 'solution-verification']"
FUNC,"['f', ',', 'g', ':', 'X', '\\to', 'X']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['g', '(', 'n', ')', '=', 'f', '(', 'n', ')', '-', 'n']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'SUB', '__ANON_1']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['j', ':', '\\mathbb', 'N', '\\rightarrow', '\\mathbb', 'Q']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",[0],['elementary-set-theory']
SET,"['\\{', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\{', 'x', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'U', '\\rightarrow', 'V']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[8, 0]","['discrete-mathematics', 'elementary-set-theory']"
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 5]","['elementary-set-theory', 'functions']"
FUNC,"['f', ':', 'A', '^', 'n', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['A', '\\cap', 'B', '^', '{', 'c', '}']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE']",[0],['elementary-set-theory']
SCAL,"['g', '(', '1', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']",[0],['elementary-set-theory']
SET,"['A', '\\cup', 'B']","['set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SCAL,"['g', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', '\\circ', 'g']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
SET,\varnothing,set_constant,[0],['elementary-set-theory']
SET,"['\\{', 'a', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'X', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,"['\\{', '1', ',', '2', ',', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[8, 0]","['discrete-mathematics', 'elementary-set-theory']"
