fid,mtype,exprstr,mention,tags
632f89fc837ac920af6744d6_f_2_5_0,SCAL,  x^3 - \frac{3}{4} x + \frac{1}{8} ,,"['algebra-precalculus', 'trigonometry', 'polynomials', 'cubics']"
632f89fc837ac920af6744d6_f_3_11_0,SCAL,"(8 z^3 - 6 z - 1) \cdot (72 z^7 - 72 z^6 - 74 z^5 + 65 z^4 + 28 z^3 - 17 z^2 - 4 z + 1)",a factor,"['algebra-precalculus', 'trigonometry', 'polynomials', 'cubics']"
632f89fc837ac920af674510_f_2_1_0,SCAL,\frac{2 - 4 x}{x^4 - 2 x^3 + x^2 + 1},,"['algebra-precalculus', 'trigonometry']"
632f89fc837ac920af674569_f_0_2_0,FUNC,g\colon \mathbb{R}^2 \to \mathbb{R},,"['real-analysis', 'trigonometry']"
632f89fc837ac920af674569_f_1_7_0,FUNC,"g(x,y)=(x+y)/2",,"['real-analysis', 'trigonometry']"
63271c3706a69a3f488e41f1_f_1_3_0,SET,"(-180, 180)",,"['trigonometry', 'spherical-geometry', 'spherical-trigonometry']"
63271c3706a69a3f488e4214_f_0_1_0,SCAL,\dfrac{2}{x},,"['algebra-precalculus', 'functions', 'trigonometry', 'inequality']"
632fbf5c837ac920af6c982c_f_1_2_0,SCAL,\frac{1}{3},,"['sequences-and-series', 'limits', 'trigonometry', 'summation']"
63271c3806a69a3f488e456e_f_3_8_0,SCAL, the numerator and denominator simplify to ,,['trigonometry']
63271c3806a69a3f488e456e_f_3_10_0,SCAL, and hence the fraction simplifies to ,,['trigonometry']
632f89fc837ac920af6746e6_f_2_5_0,FUNC,\sin(10) = a/2b,,"['geometry', 'trigonometry']"
63271c3806a69a3f488e46f0_f_0_1_0,FUNC,f(x) = f^{-1}(x),,"['functions', 'trigonometry', 'systems-of-equations']"
63271c3806a69a3f488e4790_f_0_1_0,SCAL,\frac{d y}{d x},,"['ordinary-differential-equations', 'trigonometry', 'implicit-differentiation']"
632f89fd837ac920af674889_f_0_7_0,SCAL,0 \times \dfrac {1}{0},,['trigonometry']
632f89fd837ac920af674889_f_0_8_0,SCAL,\dfrac {0}{0},,['trigonometry']
632f89fd837ac920af674889_f_3_1_0,SCAL,\frac{1}{2},the multiplicative inverse,['trigonometry']
632f89fd837ac920af674889_f_3_5_0,FUNC,\cos(90) = 0,  f_3_4_0   term,['trigonometry']
632f89fd837ac920af67495f_f_0_2_0,SCAL,\frac {0}{0},,"['calculus', 'limits', 'trigonometry', 'limits-without-lhopital']"
632f89fd837ac920af674993_f_0_7_0,FUNC,f(x) = a sin(b+cx),,"['functional-analysis', 'trigonometry', 'derivatives']"
632ffde2837ac920af72aa68_f_0_10_0,FUNC,"h(x) = \frac{(\frac{2}{5})((4+x^2)^{1/2} - 2(1-x^2)^{1/2}) (2x+(\frac{2}{5})((4+x^2)^{1/2} - 2(1-x^2)^{1/2}))}{2}",,"['geometry', 'functions', 'trigonometry', 'area']"
632ffde2837ac920af72aa68_f_2_2_0,SCAL,2(1 - t^2)^{1/2},total length   f_2_2_0,"['geometry', 'functions', 'trigonometry', 'area']"
632ffde2837ac920af72aa68_f_2_3_0,SCAL,(1 - t^2)^{1/2},,"['geometry', 'functions', 'trigonometry', 'area']"
632ffde2837ac920af72aa68_f_2_4_0,SCAL,(1 - t^2)^{1/2},the segment,"['geometry', 'functions', 'trigonometry', 'area']"
632fbf5e837ac920af6ca1d5_f_5_2_0,SCAL,(1+i)^{100},,"['trigonometry', 'complex-numbers']"
632ffde2837ac920af72acfa_f_1_12_0,SCAL,-\frac{1}{6} x^3,the second term,"['calculus', 'trigonometry', 'taylor-expansion']"
632ffde2837ac920af72acfa_f_1_17_0,SCAL,x - \frac{x^3}{6} + h(x) x^5,the expression,"['calculus', 'trigonometry', 'taylor-expansion']"
63271c3806a69a3f488e4c83_f_0_4_0,SCAL,16 (area^2) ,,"['trigonometry', 'polynomials']"
632f89fd837ac920af674cda_f_1_0_0,SCAL,cos((x-1)!),the graph,"['functions', 'trigonometry', 'prime-numbers', 'factorial']"
632f89fd837ac920af674cda_f_1_2_0,SCAL,cos((x-1)!),,"['functions', 'trigonometry', 'prime-numbers', 'factorial']"
632fbf5e837ac920af6ca318_f_1_3_0,SCAL,\frac{1}{n - x},,"['real-analysis', 'calculus', 'sequences-and-series', 'trigonometry', 'summation']"
632ffde3837ac920af72b0e9_f_1_0_0,SCAL,"10.558536057412143196227467316938626443256567512439",,"['geometry', 'trigonometry', 'euclidean-geometry', 'triangles']"
632f89fd837ac920af674cf2_f_2_190_0,SCAL,vw + wu + uv,,"['geometry', 'trigonometry', 'inequality', 'contest-math']"
632fbf5f837ac920af6ca6f0_f_0_9_0,SCAL,\frac{28}{8},,"['trigonometry', 'contest-math']"
632fbf5f837ac920af6ca6f0_f_0_10_0,SCAL,\frac{1372}{512},,"['trigonometry', 'contest-math']"
632f89fd837ac920af674cf2_f_2_228_0,SCAL,vw + wu + uv,,"['geometry', 'trigonometry', 'inequality', 'contest-math']"
63271c3906a69a3f488e4ef9_f_5_4_0,SCAL,(\frac {x}{r})^2,,['trigonometry']
63271c3906a69a3f488e4ef9_f_5_5_0,SCAL,(\frac {y}{r})^2,,['trigonometry']
63271c3906a69a3f488e4ef9_f_5_6_0,SCAL,(\frac {x^2 + y^2}{r^2}),,['trigonometry']
63271c3906a69a3f488e4ef9_f_5_7_0,SCAL,(\frac {r^2}{r^2}),,['trigonometry']
63271c3906a69a3f488e4ef9_f_7_3_0,SCAL,\frac{1}{4},,['trigonometry']
63271c3906a69a3f488e4f08_f_3_3_0,SCAL,\frac{a}{2^b\cdot3\cdot5\cdot17\cdot257\cdot 65537},the form   f_3_3_0   circles,['trigonometry']
63271c3906a69a3f488e4f08_f_3_6_0,SCAL,\frac{13}{72},,['trigonometry']
632f89fd837ac920af674cf2_f_2_320_0,SCAL,vw + wu + uv,,"['geometry', 'trigonometry', 'inequality', 'contest-math']"
63271c3906a69a3f488e506b_f_2_5_0,SCAL,\frac{adjacent}{hypotenuse},,"['calculus', 'integration', 'trigonometry', 'indefinite-integrals']"
63271c3906a69a3f488e51f0_f_0_0_0,SCAL,\dfrac{1}{500},,"['geometry', 'trigonometry']"
63271c3906a69a3f488e52e7_f_1_1_0,FUNC,f(1) = g(1),,"['sequences-and-series', 'trigonometry', 'discrete-calculus']"
63271c3906a69a3f488e52e7_f_1_3_0,FUNC,f(n) = g(n) - g(n-1),,"['sequences-and-series', 'trigonometry', 'discrete-calculus']"
632f89fd837ac920af674ee8_f_2_42_0,SCAL,\dfrac{a^2}{2},,"['trigonometry', 'inverse']"
632ffde4837ac920af72b8cc_f_0_6_0,SCAL,e^{jx} - je^{-jx},the same part,"['trigonometry', 'complex-numbers', 'exponential-function']"
632ffde4837ac920af72b8cc_f_0_7_0,SCAL,je^{jx}-e^{-jx},the same part,"['trigonometry', 'complex-numbers', 'exponential-function']"
632ffde4837ac920af72b8cc_f_3_8_0,SCAL,\frac{e^{jx}-je^{-jx}}{je^{jx}-e^{-jx}},,"['trigonometry', 'complex-numbers', 'exponential-function']"
63271c3a06a69a3f488e57fe_f_0_8_0,SCAL, and the denominator of the expression for ,\bf \hat B,"['linear-algebra', 'trigonometry', 'vector-analysis']"
63271c3a06a69a3f488e57fe_f_0_13_0,SCAL, and taking ,,"['linear-algebra', 'trigonometry', 'vector-analysis']"
63271c3a06a69a3f488e57fe_f_0_15_0,SCAL, onto a plane and forming a right-angle triangle and again taking ,B,"['linear-algebra', 'trigonometry', 'vector-analysis']"
63271c3a06a69a3f488e57fe_f_0_19_0,SCAL, becomes parallel to ,,"['linear-algebra', 'trigonometry', 'vector-analysis']"
63271c3a06a69a3f488e5815_f_0_1_0,FUNC,H(s)=\frac{s^2}{(s^2+1)^2},,"['calculus', 'trigonometry', 'laplace-transform', 'solution-verification', 'convolution']"
63271c3a06a69a3f488e5815_f_0_9_0,FUNC,h(t)=cos(t)*cos(t),the cosine,"['calculus', 'trigonometry', 'laplace-transform', 'solution-verification', 'convolution']"
63271c3a06a69a3f488e59e2_f_0_0_0,FUNC,\cos(c)=\frac{1}{3},,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_0_0,SCAL,\frac{1}{3},,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_9_0,SCAL,cos^{-1}(x),,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_10_0,SCAL,cos^{-1}(x),,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_12_0,SCAL,\frac{1}{3},,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_13_0,SCAL,\frac{1}{3},,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_38_0,SCAL,68\frac{1}{3},,"['trigonometry', 'inverse']"
63271c3a06a69a3f488e59e2_f_2_51_0,SCAL,cos^{-1}(\frac{1}{3}),,"['trigonometry', 'inverse']"
632f89fe837ac920af6754a1_f_0_8_0,SCAL, were given with the condition that ,,"['trigonometry', 'plane-geometry']"
63271c3a06a69a3f488e5a15_f_0_3_0,SCAL,\frac{1}{2},,"['analysis', 'trigonometry', 'fourier-analysis', 'fourier-series', 'trigonometric-series']"
63271c3a06a69a3f488e5a36_f_0_2_0,SCAL, sin^{-1}\frac{-1}{2},,"['algebra-precalculus', 'trigonometry']"
632f89fe837ac920af67556b_f_1_20_0,SCAL, then the radius is exactly ,,"['calculus', 'trigonometry', 'conic-sections']"
632f89ff837ac920af6756d9_f_1_8_0,SCAL,\frac {4}{3} ,,['trigonometry']
632f89ff837ac920af67570a_f_0_2_0,SET,"(0 , \frac{121}{36})",,"['trigonometry', 'self-learning']"
632f89ff837ac920af67570a_f_0_3_0,SET,"(1,\frac{121}{9})",,"['trigonometry', 'self-learning']"
63271c3a06a69a3f488e5bb3_f_1_1_0,FUNC,\cos(t)=\frac{3}{x},,"['calculus', 'integration', 'trigonometry']"
632ffde5837ac920af72be7c_f_0_0_0,SCAL,\frac{1}{x^6+1},,"['integration', 'trigonometry', 'complex-numbers']"
632fbf60837ac920af6cb0eb_f_0_0_0,SCAL,\frac{13}{4},the little radius,"['geometry', 'trigonometry']"
632fbf60837ac920af6cb0eb_f_2_7_0,SCAL,\frac {a}{c},,"['geometry', 'trigonometry']"
63271c3a06a69a3f488e5c2d_f_1_4_0,SCAL,\frac{1}{x},,"['calculus', 'trigonometry', 'derivatives']"
632ffde5837ac920af72bf18_f_1_0_0,FUNC,f:\mathbb{R}\to\mathbb{R},,"['derivatives', 'trigonometry', 'chain-rule']"
632ffde5837ac920af72bf18_f_1_1_0,FUNC,g:\mathbb{R}\to\mathbb{R},,"['derivatives', 'trigonometry', 'chain-rule']"
632ffde5837ac920af72bf4b_f_0_8_0,SCAL,-2tn/(t^2-n^2),,"['algebra-precalculus', 'trigonometry']"
632fbf60837ac920af6cb3bf_f_0_0_0,FUNC,\sin(x) = (2t)/(1+t^2),,['trigonometry']
632fbf60837ac920af6cb3bf_f_0_1_0,FUNC,\cos(x) = (1-t^2)/(1+t^2),,['trigonometry']
632fbf60837ac920af6cb3bf_f_0_2_0,SCAL,(2/((1+t^2)^2))(14t^2 +20t + 38),,['trigonometry']
632f89ff837ac920af6758b7_f_1_2_0,SCAL,\frac{x}{1-x^2},,"['sequences-and-series', 'trigonometry', 'inequality', 'power-series']"
63271c3a06a69a3f488e6020_f_1_0_0,FUNC,\sin(x) = \frac{opp}{hyp},the following manner,['trigonometry']
63271c3a06a69a3f488e6020_f_1_1_0,FUNC,\cos(x) = \frac{adj}{hyp},,['trigonometry']
63271c3a06a69a3f488e6020_f_2_6_0,SCAL,\frac{4}{3},,['trigonometry']
63271c3a06a69a3f488e6020_f_2_8_0,SCAL,\frac{5}{4},,['trigonometry']
632f89ff837ac920af675b1b_f_0_14_0,SCAL,\frac{f(x)}{x},,"['trigonometry', 'logarithms', 'taylor-expansion']"
632f89ff837ac920af675b58_f_0_1_0,SCAL,sinh(sinh^{-1}(z)),,"['complex-analysis', 'trigonometry']"
632f89ff837ac920af675bcf_f_2_0_0,SET,\mathbb R^2,,"['linear-algebra', 'geometry', 'trigonometry', 'analytic-geometry', 'conic-sections']"
632f89ff837ac920af675bcf_f_2_2_0,SET,\mathbb R^3,,"['linear-algebra', 'geometry', 'trigonometry', 'analytic-geometry', 'conic-sections']"
63271c3b06a69a3f488e63f7_f_0_2_0,SCAL,cos(z) + isin(z),,"['real-analysis', 'complex-analysis', 'trigonometry', 'complex-numbers']"
63271c3b06a69a3f488e63f7_f_1_2_0,FUNC,f(x)=c\cdot e^{ix},,"['real-analysis', 'complex-analysis', 'trigonometry', 'complex-numbers']"
63271c3b06a69a3f488e63f7_f_1_5_0,FUNC,f(x)=e^{ix},,"['real-analysis', 'complex-analysis', 'trigonometry', 'complex-numbers']"
63271c3b06a69a3f488e642d_f_4_7_0,SCAL,\frac{1}{8},,"['integration', 'trigonometry', 'indefinite-integrals']"
632fbf61837ac920af6cb74c_f_3_5_0,FUNC,x(t)=x(t+2),,"['trigonometry', 'proof-explanation']"
632fbf61837ac920af6cb7a7_f_2_0_0,FUNC,y(t)=v(t)cos(t),the following substitutions,"['ordinary-differential-equations', 'derivatives', 'trigonometry']"
632fbf61837ac920af6cb7d4_f_1_1_0,SCAL,8 z^3 - 6 z + 1,,"['trigonometry', 'algebraic-number-theory', 'real-numbers']"
632fbf61837ac920af6cb9ca_f_0_12_0,SCAL,\frac{sin(mx)}{sin(x)},hr      f_0_12_0,"['real-analysis', 'trigonometry', 'complex-numbers']"
632fbf62837ac920af6cbb4f_f_0_1_0,SCAL,\frac{1}{12}n(n+1)(2n+1),,"['calculus', 'limits', 'trigonometry', 'limits-without-lhopital']"
632f8a00837ac920af6761ac_f_0_22_0,SCAL,tan^{-1}(a+b),,"['integration', 'functions', 'trigonometry', 'derivatives', 'angle']"
632fbf62837ac920af6cbb4f_f_3_7_0,SCAL,\frac{n(n+1)(2n+1)}{6},,"['calculus', 'limits', 'trigonometry', 'limits-without-lhopital']"
632f8a00837ac920af6761ac_f_0_23_0,SCAL,sin^{-1}(a+b),,"['integration', 'functions', 'trigonometry', 'derivatives', 'angle']"
632fbf62837ac920af6cbb4f_f_3_8_0,SCAL,\frac{n(n+1)(2n+1)}{12},,"['calculus', 'limits', 'trigonometry', 'limits-without-lhopital']"
63271c3b06a69a3f488e6780_f_3_0_0,FUNC, \tan (x) = \frac {3}{4} ,,['trigonometry']
632fbf62837ac920af6cbb53_f_2_4_0,SCAL,4cos(2x)+cos(4x),,['trigonometry']
632f8a00837ac920af6761d5_f_0_11_0,SCAL,\frac{1}{12},,"['functions', 'trigonometry', 'functional-equations']"
632f8a00837ac920af6761d5_f_2_4_0,FUNC,f(0)=\frac{1}{12},,"['functions', 'trigonometry', 'functional-equations']"
632fbf62837ac920af6cbbea_f_1_4_0,SCAL,9.880289-10,,"['geometry', 'trigonometry']"
632fbf62837ac920af6cbc7b_f_1_0_0,SET,\mathbb{R}^3,,['trigonometry']
632fbf62837ac920af6cbc7b_f_1_4_0,SET,\mathbb{R}^2,,['trigonometry']
63271c3b06a69a3f488e6a5a_f_2_0_0,SCAL,\frac{1-(-1)^n}{n},,"['calculus', 'trigonometry']"
63271c3b06a69a3f488e6bb2_f_1_2_0,FUNC,\tan(135)=-1,,['trigonometry']
632fbf62837ac920af6cbed0_f_0_11_0,SCAL,\frac{y^2}{256},,"['algebra-precalculus', 'trigonometry']"
632fbf62837ac920af6cbed0_f_0_12_0,SCAL,\frac{x^2}{105},,"['algebra-precalculus', 'trigonometry']"
632fbf62837ac920af6cbed0_f_0_13_0,SCAL,\frac{y^2}{256},,"['algebra-precalculus', 'trigonometry']"
632ffde7837ac920af72cc27_f_1_2_0,SCAL,\frac{x+\frac{1}{x}}{z+\frac{1}{z}},,"['algebra-precalculus', 'trigonometry', 'systems-of-equations', 'quadratics']"
632f8a01837ac920af676449_f_3_2_0,SCAL,"\frac{e^{2inx}-2+e^{-2inx}+(e^{i(2n+1)x}-e^{-i(2n+1)x})(e^{ix}-e^{-ix}){2i(e^{ix}-e^{-ix})}",,"['trigonometry', 'induction']"
63271c3c06a69a3f488e6f0d_f_0_4_0,SCAL,\frac{1}{0},,"['calculus', 'trigonometry']"
63271c3c06a69a3f488e7087_f_0_7_0,FUNC,\cos(0) = 1,,['trigonometry']
632ffde7837ac920af72ce7a_f_0_0_0,FUNC,f(x)=\frac{1}{400}x^2,,"['algebra-precalculus', 'trigonometry', 'analytic-geometry', 'conic-sections']"
63271c3c06a69a3f488e7087_f_3_17_0,FUNC,\cos(0) = 1,the real value,['trigonometry']
63271c3c06a69a3f488e70fd_f_1_7_0,SCAL,2^{(n + 12) / 12} w,multiples,['trigonometry']
63271c3c06a69a3f488e70fd_f_1_9_0,SCAL,2^{(n + 12) / 12},,['trigonometry']
632ffde8837ac920af72d0bd_f_0_13_0,SET,\mathbb{R}^3,,"['geometry', 'trigonometry', 'inner-products', 'angle', 'cross-product']"
632ffde8837ac920af72d0c8_f_0_3_0,SCAL,\frac{-1}{2},,"['complex-analysis', 'trigonometry']"
632ffde8837ac920af72d0c8_f_0_7_0,SCAL,\frac{z}{z + 1},a root,"['complex-analysis', 'trigonometry']"
632ffde8837ac920af72d0c9_f_0_1_0,SCAL,i\frac{-1+e^2}{2e},,"['complex-analysis', 'trigonometry', 'exponential-function']"
632ffde8837ac920af72d0c9_f_0_3_0,SCAL,\frac{1+e^2}{2e},,"['complex-analysis', 'trigonometry', 'exponential-function']"
632ffde8837ac920af72d170_f_0_0_0,FUNC,f(x)=\frac{sec^2(x)}{tan^2(x)},,"['functional-analysis', 'functions', 'trigonometry', 'graphing-functions']"
632ffde8837ac920af72d170_f_0_7_0,SCAL,\frac{sec^2(x)}{tan^2(x)},the manipulation,"['functional-analysis', 'functions', 'trigonometry', 'graphing-functions']"
632ffde8837ac920af72d170_f_0_8_0,SCAL,\frac{1}{sin^2(x)},,"['functional-analysis', 'functions', 'trigonometry', 'graphing-functions']"
632f8a02837ac920af676bcf_f_2_17_0,SCAL,2^1\times 3^2\times 11^2\times 61^2,,['trigonometry']
632ffde8837ac920af72d35f_f_0_6_0,FUNC,f(k)=12k^3+14k^2-1,,"['calculus', 'trigonometry']"
63271c3c06a69a3f488e7507_f_0_0_0,SCAL,\frac{2x^3 + 5x^2 + 8x + 4}{(x^2 + 2x + 2)^2},the function,"['integration', 'trigonometry']"
632f8a02837ac920af676c62_f_0_2_0,SCAL,2b + \dfrac {c}{a},,['trigonometry']
63271c3c06a69a3f488e7571_f_0_0_0,SCAL,"frac{2x + 7} {x^2 + x + 1}",the function,"['integration', 'trigonometry', 'indefinite-integrals']"
632fbf64837ac920af6cc9ac_f_0_2_0,SCAL,\frac{3t}{2},seconds,"['linear-algebra', 'trigonometry']"
632fbf64837ac920af6ccaf9_f_0_3_0,FUNC,\tan(x) = \frac{u}{1-u^2},the substitution identity   f_0_3_0,"['algebra-precalculus', 'trigonometry']"
63271c3d06a69a3f488e790f_f_2_1_0,SCAL, \dfrac{6 x (1-x^2) }{(1-11 x^2)}  ,,['trigonometry']
63271c3d06a69a3f488e793c_f_0_10_0,SCAL,8616033804677 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_12_0,SCAL,2069893102399 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_14_0,SCAL,5762730745583 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_16_0,SCAL,9975787393726 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_18_0,SCAL,5087265207167 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_20_0,SCAL,1659285755627 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_22_0,SCAL,0598803856636 ,,"['trigonometry', 'polar-coordinates']"
632f8a02837ac920af676e9a_f_2_34_0,SCAL, and another one with angle ,,"['algebra-precalculus', 'trigonometry']"
63271c3d06a69a3f488e793c_f_0_24_0,SCAL,3495571649968 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_26_0,SCAL,3431131407785 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_28_0,SCAL,725327457386 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_30_0,SCAL,353651321838 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_32_0,SCAL,975376057487 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_34_0,SCAL,138396619532 ,,"['trigonometry', 'polar-coordinates']"
632f8a02837ac920af676e9a_f_2_40_0,SCAL, in first quadrant has sine ,,"['algebra-precalculus', 'trigonometry']"
632fbf64837ac920af6ccbe8_f_2_1_0,FUNC,\sec(y) = x,,"['calculus', 'integration', 'trigonometry']"
63271c3d06a69a3f488e793c_f_0_36_0,SCAL,2521692965516 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_38_0,SCAL,6304445609022 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_40_0,SCAL,0021206964505 ,,"['trigonometry', 'polar-coordinates']"
632f8a02837ac920af676e9a_f_2_43_0,SCAL, in second quadrant has sine ,,"['algebra-precalculus', 'trigonometry']"
63271c3d06a69a3f488e793c_f_0_42_0,SCAL,619906379843 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_44_0,SCAL,6263504040613 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_46_0,SCAL,3366736247281 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_48_0,SCAL,4427218146272 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_50_0,SCAL,7855197597812 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_52_0,SCAL,72562802156294 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_54_0,SCAL,1469336863772 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_56_0,SCAL,5162174506955 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_0_58_0,SCAL,8616033804677 ,,"['trigonometry', 'polar-coordinates']"
63271c3d06a69a3f488e793c_f_1_5_0,SET,"(-96.1953,    -75.7800)",,"['trigonometry', 'polar-coordinates']"
632ffde8837ac920af72d711_f_1_6_0,SCAL,2i((\frac{1}{e^{ix}-1}-\frac{1}{e^{2ix}-1})+(\frac{1}{e^{2ix}-1}-\frac{1}{e^{4ix}-1})+(\frac{1}{e^{4ix}-1}-\frac{1}{e^{8ix}-1})\cdots (\frac{1}{e^{2^{n}ix}-1}-\frac{1}{e^{2^{n+1}ix}-1})),,"['algebra-precalculus', 'trigonometry', 'complex-numbers', 'summation', 'trigonometric-series']"
632ffde8837ac920af72d711_f_1_7_0,SCAL,2i((\frac{1}{e^{ix}-1}-\frac{1}{e^{2^{n+1}ix}-1})),,"['algebra-precalculus', 'trigonometry', 'complex-numbers', 'summation', 'trigonometric-series']"
63271c3d06a69a3f488e7969_f_0_0_0,SCAL, \frac{e^{ix}-e^{-ix}}{2i},the sine function,"['functions', 'trigonometry', 'complex-numbers', 'numerical-methods']"
63271c3d06a69a3f488e7969_f_0_3_0,SCAL,0.283662185463-0.958924274663i,,"['functions', 'trigonometry', 'complex-numbers', 'numerical-methods']"
632ffde8837ac920af72d719_f_1_3_0,SCAL,\frac{(2n+1)!}{k},,"['functions', 'trigonometry', 'factorial', 'pi', 'fractional-part']"
632ffde8837ac920af72d719_f_1_6_0,SCAL,\frac{n}{k},infinitely many rationals,"['functions', 'trigonometry', 'factorial', 'pi', 'fractional-part']"
632ffde9837ac920af72d777_f_1_18_0,FUNC,\sec(a) = 0,,"['geometry', 'trigonometry']"
63271c3d06a69a3f488e7cf0_f_3_1_0,SCAL,[30-60-90][1],,"['linear-algebra', 'trigonometry']"
63271c3d06a69a3f488e7cf0_f_3_2_0,SCAL,[45-45-90][2],,"['linear-algebra', 'trigonometry']"
632ffde9837ac920af72d876_f_0_2_0,SCAL,\frac{-1}{2},,"['trigonometry', 'systems-of-equations', 'trigonometric-integrals']"
632fbf64837ac920af6ccf02_f_3_1_0,SCAL,f(n+1)-f(n),,"['analysis', 'trigonometry', 'summation', 'inverse']"
632fbf64837ac920af6ccf44_f_0_16_0,FUNC,f(x) = ax + b,,"['geometry', 'trigonometry', 'angle']"
632ffde9837ac920af72d9f3_f_0_8_0,SCAL,\frac{x+1}{x-1},,"['calculus', 'sequences-and-series', 'functions', 'trigonometry', 'trigonometric-series']"
632fbf64837ac920af6cd019_f_0_2_0,SCAL,(y+1)^{y+1},,['trigonometry']
632f8a03837ac920af6772e3_f_0_4_0,SCAL,\dfrac{x}{2},the term,"['integration', 'geometry', 'trigonometry', 'circles', 'area']"
632f8a03837ac920af677337_f_2_0_0,SCAL, x^6 + x^5 - 5 x^4 - 4 x^3 + 6 x^2 + 3 x - 1 ,,"['trigonometry', 'reference-request', 'contest-math']"
632f8a03837ac920af677397_f_0_18_0,SCAL,\frac{feet}{deg},,"['calculus', 'trigonometry', 'derivatives']"
63271c3d06a69a3f488e81d2_f_0_1_0,SCAL,\frac{n}{2^m},,"['sequences-and-series', 'trigonometry']"
632fbf65837ac920af6cd25a_f_0_1_0,SCAL,\frac{m^2 - n^2}{n^2},,['trigonometry']
632f8a03837ac920af6773e0_f_0_14_0,SCAL,\frac{y}{y+8},,"['trigonometry', 'triangles']"
63271c3d06a69a3f488e81d2_f_2_4_0,SCAL,\frac{k}{d},,"['sequences-and-series', 'trigonometry']"
63271c3d06a69a3f488e81f5_f_1_3_0,FUNC,g(x)=f(x)\cdot h(x),,"['calculus', 'trigonometry', 'derivatives']"
632fbf65837ac920af6cd27a_f_2_6_0,SET,"(\frac{1}{2},0)",the point,"['geometry', 'trigonometry']"
632ffde9837ac920af72dd22_f_3_5_0,SCAL,(1-t)/(1+t),,"['algebra-precalculus', 'trigonometry']"
632f8a03837ac920af677429_f_1_11_0,SCAL,tan^{-1}(tan(x)),,['trigonometry']
632f8a03837ac920af67742c_f_1_4_0,FUNC,\tan(x)=\frac{12}{5},,['trigonometry']
632f8a03837ac920af67742c_f_2_11_0,SCAL,\frac{12}{5},,['trigonometry']
63271c3e06a69a3f488e83c3_f_0_2_0,SCAL,\frac{a-b}{1+ab},f_0_2_0   br/,"['trigonometry', 'inverse']"
632f8a03837ac920af677539_f_1_0_0,SCAL,  x^3 + x^2 - 4 x + 1. ,the roots,"['trigonometry', 'cubics']"
632f8a03837ac920af677539_f_2_6_0,SCAL,x^3 - 3x + 1.,the final cubic,"['trigonometry', 'cubics']"
632ffdea837ac920af72de5c_f_0_3_0,SCAL,(x^2+y^2-1),ideal,"['trigonometry', 'polynomials']"
632ffdea837ac920af72de5c_f_0_15_0,FUNC,"g(x, y) = (x+ay)(x^2+y^2-1)+ bx^2+cx+dy+e",,"['trigonometry', 'polynomials']"
632fbf65837ac920af6cd3a3_f_0_6_0,FUNC,p(x)=g(t(d(x))),,"['algebra-precalculus', 'functions', 'trigonometry', 'word-problem']"
632fbf65837ac920af6cd3a3_f_0_8_0,FUNC,g(x)=45.95x-50,,"['algebra-precalculus', 'functions', 'trigonometry', 'word-problem']"
632fbf65837ac920af6cd3a3_f_1_4_0,FUNC,t(x) = 1.055 x,,"['algebra-precalculus', 'functions', 'trigonometry', 'word-problem']"
632ffdea837ac920af72e012_f_2_4_0,SCAL,\dfrac{0}{0},an indet,"['limits', 'trigonometry']"
