fid,mtype,exprstr,mention,tokens,tags
632ffde9837ac920af72d9b5_f_0_2_0,FUNC,f(x)=x^{-1},the function   f_0_2_0,"['f', '(', 'x', ')', '=', 'x', '^', '{', '-', '1', '}']","['definite-integrals', 'elementary-functions', 'decidability']"
632ffde9837ac920af72d9b5_f_0_6_0,FUNC,R,integrable functions,['R'],"['definite-integrals', 'elementary-functions', 'decidability']"
632ffdec837ac920af72f275_f_1_11_0,FUNC,f(t) = t^x,the function   f_1_11_0,"['f', '(', 't', ')', '=', 't', '^', 'x']","['analysis', 'elementary-functions']"
633004bb837ac920af7306ce_f_1_4_0,FUNC,x,functions,['x'],"['trigonometry', 'closed-form', 'elementary-functions', 'transcendental-equations']"
633004bb837ac920af7306ce_f_2_6_0,FUNC,\sin,and the transcendental functions,\sin,"['trigonometry', 'closed-form', 'elementary-functions', 'transcendental-equations']"
63302e0b837ac920af775274_f_1_2_0,FUNC,f,the map,['f'],"['algebra-precalculus', 'functions', 'elementary-functions']"
633004bd837ac920af73135a_f_2_2_0,FUNC,f,a monotone function,['f'],"['trigonometry', 'closed-form', 'elementary-functions', 'transcendental-functions']"
63302e12837ac920af777a38_f_2_3_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{R},a function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']",['elementary-functions']
63302e12837ac920af777a38_f_2_4_0,FUNC,f,the function,['f'],['elementary-functions']
63302e12837ac920af777a38_f_2_6_0,FUNC,f,a decreasing function,['f'],['elementary-functions']
633035e2837ac920af77b35a_f_0_7_0,FUNC,S,elementary functions,['S'],"['integration', 'special-functions', 'closed-form', 'elementary-functions']"
633004c4837ac920af7342b7_f_0_3_0,FUNC,f,no elementary function   f_0_3_0,['f'],"['functions', 'exponential-function', 'problem-solving', 'elementary-functions']"
632f89fa837ac920af673420_f_1_13_0,FUNC,f,our function,['f'],"['power-series', 'taylor-expansion', 'elementary-functions']"
633035ec837ac920af77ebc1_f_2_20_0,FUNC,f,a bijection,['f'],"['analysis', 'functions', 'elementary-functions']"
633004c8837ac920af735d37_f_4_0_0,FUNC,f(x)=e^x-kx,function,"['f', '(', 'x', ')', '=', 'e', '^', 'x', '-', 'k', 'x']","['algebra-precalculus', 'logarithms', 'closed-form', 'elementary-functions']"
633035f7837ac920af782771_f_1_9_0,SCAL,0.1036578164,The approximate values,"['0', '1']",['elementary-functions']
633035fb837ac920af7836e0_f_0_0_0,FUNC,f,no elementary function,['f'],"['integration', 'asymptotics', 'elementary-functions', 'differential-algebra']"
633035fb837ac920af7836e0_f_0_2_0,FUNC,g,an elementary function   f_0_2_0,['g'],"['integration', 'asymptotics', 'elementary-functions', 'differential-algebra']"
633035fc837ac920af7837cc_f_0_14_0,SCAL,f(x),negative - valued inputs,"['f', '(', 'x', ')']","['induction', 'elementary-functions']"
