fid,mtype,exprstr,mention,tokens,tags
632f9726837ac920af68a540_f_0_4_0,SET,A \cup B,the set,"['A', '\\cup', 'B']","['abstract-algebra', 'combinatorics', 'elementary-set-theory']"
6327307306a69a3f488f3308_f_0_0_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
6327307306a69a3f488f3609_f_0_0_0,FUNC,f(x)= x^2 ,the function,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['functions', 'elementary-set-theory', 'definition']"
6327307406a69a3f488f37ed_f_0_1_0,FUNC,f,f_0_0_0 : any map,['f'],"['general-topology', 'elementary-set-theory', 'proof-verification']"
6327307406a69a3f488f3879_f_0_3_0,SET,2^A,power set,"['2', '^', 'A']",['elementary-set-theory']
63300bb8837ac920af73e46d_f_0_18_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory', 'solution-verification']"
63300bb8837ac920af73e46d_f_0_20_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory', 'solution-verification']"
632fd3c3837ac920af6e3e05_f_0_16_0,FUNC,f,functions,['f'],"['proof-verification', 'elementary-set-theory', 'induction']"
632fd3c3837ac920af6e3e05_f_0_22_0,FUNC,g,bijection,['g'],"['proof-verification', 'elementary-set-theory', 'induction']"
63300bb8837ac920af73e474_f_1_8_0,FUNC,F,bijection,['F'],['elementary-set-theory']
632f9726837ac920af68a604_f_2_45_0,FUNC,f,the function   f_2_45_0,['f'],"['elementary-set-theory', 'induction', 'cardinals']"
632f9726837ac920af68a604_f_2_48_0,FUNC,f,  any   proposed function,['f'],"['elementary-set-theory', 'induction', 'cardinals']"
632f9726837ac920af68a604_f_2_61_0,FUNC,f,an arbitrary function,['f'],"['elementary-set-theory', 'induction', 'cardinals']"
63300bb8837ac920af73e53b_f_0_13_0,FUNC,f,a bijection,['f'],['elementary-set-theory']
63300bb8837ac920af73e53b_f_0_16_0,FUNC,h,a bijection,['h'],['elementary-set-theory']
63300bb8837ac920af73e53b_f_0_17_0,FUNC,g,a bijection,['g'],['elementary-set-theory']
63300bb8837ac920af73e53b_f_0_18_0,FUNC,g,a bijection,['g'],['elementary-set-theory']
6327307506a69a3f488f3e86_f_0_2_0,FUNC,f: A \to B,What,"['f', ':', 'A', '\\to', 'B']","['combinatorics', 'elementary-set-theory']"
6327307506a69a3f488f3e86_f_0_5_0,FUNC,f: A \to B,functions,"['f', ':', 'A', '\\to', 'B']","['combinatorics', 'elementary-set-theory']"
632f9727837ac920af68a792_f_1_5_0,SET,A\cup B,"  f_1_4_0 , the sets","['A', '\\cup', 'B']",['elementary-set-theory']
632fd3c3837ac920af6e3e28_f_2_3_0,SET,R^{-1},set,"['R', '^', '{', '-', '1', '}']","['elementary-set-theory', 'definition']"
632fd3c3837ac920af6e3e66_f_1_1_0,SET,\{S\},the set   f_1_1_0,"['\\{', 'S', '\\}']",['elementary-set-theory']
6327307506a69a3f488f3f54_f_0_44_0,FUNC,A,a bijection,['A'],['elementary-set-theory']
6327307506a69a3f488f3f54_f_0_53_0,FUNC,a,a function mapping,['a'],['elementary-set-theory']
632f9727837ac920af68a7be_f_1_1_0,FUNC,f,a [ total,['f'],"['functions', 'elementary-set-theory']"
632fd3c4837ac920af6e40d9_f_2_5_0,FUNC,f,such a function   f_2_5_0,['f'],"['elementary-set-theory', 'axiom-of-choice']"
63300bb8837ac920af73e6a2_f_1_22_0,FUNC,f,an injection,['f'],['elementary-set-theory']
6327307506a69a3f488f4349_f_0_8_0,FUNC,f:\mathbb R \to \mathbb R,a differentiable function   f_0_8_0,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['real-analysis', 'elementary-set-theory', 'derivatives']"
632fd3c4837ac920af6e413b_f_0_10_0,SET,\mathbb{R},uncountable sets,\mathbb{R},['elementary-set-theory']
632f5f35837ac920af6336d7_f_1_0_0,FUNC,f,an injection,['f'],"['functions', 'discrete-mathematics', 'elementary-set-theory']"
632fd3c4837ac920af6e413b_f_4_20_0,FUNC,f(x)=kx,e.g. the functions,"['f', '(', 'x', ')', '=', 'k', 'x']",['elementary-set-theory']
632f5f35837ac920af633709_f_2_0_0,FUNC,f,a function,['f'],"['functions', 'discrete-mathematics', 'elementary-set-theory']"
632fd3c4837ac920af6e413b_f_5_1_0,FUNC,f : \mathbb{N} \rightarrow X,a bijection   f_5_1_0,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'X']",['elementary-set-theory']
632f9727837ac920af68aa5a_f_2_7_0,FUNC,"h,k\colon C\to A",every functions,"['h', ',', 'k', '\\colon', 'C', '\\to', 'A']",['elementary-set-theory']
63300bb9837ac920af73e752_f_0_1_0,FUNC,f,an injection   f_0_1_0,['f'],['elementary-set-theory']
63300bb9837ac920af73e752_f_0_6_0,FUNC,h,a bijection   f_0_6_0,['h'],['elementary-set-theory']
632f9727837ac920af68aa5a_f_2_80_0,FUNC,"h,k\colon B\to C",every functions,"['h', ',', 'k', '\\colon', 'B', '\\to', 'C']",['elementary-set-theory']
632fd3c4837ac920af6e423a_f_0_0_0,FUNC, f: X \to Y ,a function,"['f', ':', 'X', '\\to', 'Y']",['elementary-set-theory']
63300bb9837ac920af73e787_f_0_4_0,SET,"\{2,3,5,6\}",the new set,"['\\{', '2', ',', '3', ',', '5', ',', '6', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e787_f_0_6_0,SET,"\{2,3,5,6,9\}",the new set,"['\\{', '2', ',', '3', ',', '5', ',', '6', ',', '9', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e787_f_0_8_0,SET,"\{2,3,5,6,9,18\}",the new set,"['\\{', '2', ',', '3', ',', '5', ',', '6', ',', '9', ',', '1', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e787_f_0_10_0,SET,"\{2,3,5,6,9,18,81\}",the new set,"['\\{', '2', ',', '3', ',', '5', ',', '6', ',', '9', ',', '1', ',', '8', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
632f9727837ac920af68aa5a_f_2_93_0,FUNC,g,the function,['g'],['elementary-set-theory']
63300bb9837ac920af73e787_f_0_13_0,SET,"\{2,3,4,5,6\}",the new set,"['\\{', '2', ',', '3', ',', '4', ',', '5', ',', '6', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e787_f_0_15_0,SET,"\{2,3,4,5,6,8\}",the new set,"['\\{', '2', ',', '3', ',', '4', ',', '5', ',', '6', ',', '8', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e787_f_0_29_0,SET,"\{0,0\}",our new set,"['\\{', '0', ',', '0', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
632f5f35837ac920af6338dd_f_2_5_0,FUNC,f:B\to \{a\},the only function   f_2_5_0,"['f', ':', 'B', '\\to', '\\{', 'a', '\\}']","['elementary-set-theory', 'notation']"
632f5f35837ac920af6338dd_f_2_13_0,FUNC,f:\{b\}\to A,the only functions,"['f', ':', '\\{', 'b', '\\}', '\\to', 'A']","['elementary-set-theory', 'notation']"
63300bb9837ac920af73e787_f_1_64_0,SET,"\{1,3,4,9,10,12,13,16\}",this particular set,"['\\{', '1', ',', '3', ',', '4', ',', '9', ',', '1', ',', '1', ',', '1', ',', '1', '\\}']","['number-theory', 'elementary-set-theory', 'recreational-mathematics']"
63300bb9837ac920af73e7e1_f_0_25_0,FUNC,x,an element,['x'],"['elementary-set-theory', 'solution-verification', 'set-theory', 'infinite-product']"
63300bb9837ac920af73e987_f_0_2_0,FUNC,f : A \to B,a function,"['f', ':', 'A', '\\to', 'B']","['abstract-algebra', 'functions', 'elementary-set-theory', 'equivalence-relations']"
632f9727837ac920af68abf0_f_0_7_0,SET,\mathbb{N},the set,\mathbb{N},"['calculus', 'real-analysis', 'elementary-set-theory', 'proof-writing']"
632f9727837ac920af68abf0_f_2_1_0,FUNC,f:A\to\mathbb N,a bijection   f_2_1_0,"['f', ':', 'A', '\\to', '\\mathbb', 'N']","['calculus', 'real-analysis', 'elementary-set-theory', 'proof-writing']"
632f9727837ac920af68abf0_f_4_6_0,FUNC,f,a 1 : f_4_5_0 mapping   f_4_6_0,['f'],"['calculus', 'real-analysis', 'elementary-set-theory', 'proof-writing']"
632f5f36837ac920af633ac5_f_0_12_0,FUNC,x,a function,['x'],"['elementary-set-theory', 'ordinals']"
632f9727837ac920af68abfe_f_0_0_0,SET,"\{1,2\}",sets,"['\\{', '1', ',', '2', '\\}']","['elementary-set-theory', 'terminology']"
632f5f36837ac920af633ac5_f_0_51_0,FUNC,x,a function,['x'],"['elementary-set-theory', 'ordinals']"
632fd3c4837ac920af6e4541_f_1_0_0,FUNC,f,The function,['f'],"['probability', 'integration', 'elementary-set-theory', 'rational-numbers']"
632f5f36837ac920af633b78_f_0_0_0,FUNC,f,A function,['f'],"['functions', 'elementary-set-theory', 'definition']"
63300bb9837ac920af73ead9_f_1_18_0,FUNC,f,f_1_17_0 -ary function symbol   f_1_18_0,['f'],"['elementary-set-theory', 'definition']"
632f5f36837ac920af633c48_f_2_1_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
632f5f36837ac920af633c48_f_2_6_0,FUNC,f,a bijection,['f'],"['functions', 'elementary-set-theory']"
63300bb9837ac920af73ead9_f_1_45_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'definition']"
63300bb9837ac920af73ead9_f_1_62_0,FUNC,A,a function,['A'],"['elementary-set-theory', 'definition']"
63300bb9837ac920af73ead9_f_1_67_0,FUNC,A,a function,['A'],"['elementary-set-theory', 'definition']"
63300bb9837ac920af73eb17_f_1_7_0,FUNC,f,an injective map,['f'],"['functions', 'elementary-set-theory']"
63300bb9837ac920af73eb19_f_0_1_0,FUNC,s,a surjective function,['s'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'soft-question']"
63300bb9837ac920af73eb19_f_0_19_0,FUNC,u,therefore that function,['u'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'soft-question']"
63300bb9837ac920af73eb19_f_0_20_0,FUNC,u,function,['u'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'soft-question']"
63300bb9837ac920af73eb19_f_0_22_0,FUNC,u,function   f_0_22_0,['u'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'soft-question']"
63300bb9837ac920af73eb19_f_0_28_0,FUNC,u,how function,['u'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'soft-question']"
632f5f36837ac920af633d16_f_0_3_0,SCAL,c^p,the room number   f_0_3_0,"['c', '^', 'p']","['elementary-set-theory', 'cardinals']"
632f5f36837ac920af633d16_f_1_0_0,FUNC,f(n)=n+2,an injective function,"['f', '(', 'n', ')', '=', 'n', '+', '2']","['elementary-set-theory', 'cardinals']"
632f5f36837ac920af633d98_f_1_7_0,FUNC,f,a function,['f'],['elementary-set-theory']
632f5f36837ac920af633d98_f_2_13_0,FUNC,f \colon X \rightarrow X,every injective function   f_2_13_0,"['f', '\\colon', 'X', '\\rightarrow', 'X']",['elementary-set-theory']
632f9728837ac920af68ae6a_f_4_4_0,FUNC,f,the function,['f'],"['functions', 'elementary-set-theory', 'examples-counterexamples']"
63300bb9837ac920af73ec5d_f_2_2_0,SET,A\times A,a set,"['A', '\\times', 'A']","['elementary-set-theory', 'relations']"
63300bb9837ac920af73ec8b_f_0_4_0,FUNC,G,  a surjective function,['G'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'definition', 'equivalence-relations']"
63300bb9837ac920af73ec8b_f_1_0_0,FUNC,f : A \to B,every function,"['f', ':', 'A', '\\to', 'B']","['abstract-algebra', 'group-theory', 'elementary-set-theory', 'definition', 'equivalence-relations']"
63300bb9837ac920af73ec8b_f_2_22_0,FUNC,R,a function,['R'],"['abstract-algebra', 'group-theory', 'elementary-set-theory', 'definition', 'equivalence-relations']"
632f9728837ac920af68af35_f_3_19_0,FUNC,g,this bijection,['g'],['elementary-set-theory']
632f9728837ac920af68af97_f_2_5_0,SET,\mathbb N,the index set,"['\\mathbb', 'N']",['elementary-set-theory']
63300bb9837ac920af73eda5_f_1_9_0,FUNC,f,this function   f_1_9_0,['f'],"['functions', 'elementary-set-theory']"
632fd3c5837ac920af6e492c_f_1_0_0,SET,A \cup B \cup C,three sets,"['A', '\\cup', 'B', '\\cup', 'C']","['general-topology', 'elementary-set-theory']"
632f5f37837ac920af633ff6_f_1_0_0,SET,\mathbb Z,The set,"['\\mathbb', 'Z']",['elementary-set-theory']
632f5f37837ac920af633ff6_f_2_7_0,SCAL,4,the number   f_2_7_0,4,['elementary-set-theory']
632f5f37837ac920af6340c9_f_3_8_0,FUNC,f : A \to B,a bijection,"['f', ':', 'A', '\\to', 'B']","['abstract-algebra', 'elementary-set-theory']"
632fd3c5837ac920af6e49b4_f_0_0_0,FUNC,f: A\to B,a function,"['f', ':', 'A', '\\to', 'B']","['functions', 'elementary-set-theory']"
632fd3c5837ac920af6e49b4_f_0_1_0,FUNC,E,a function,['E'],"['functions', 'elementary-set-theory']"
63300bba837ac920af73f052_f_1_2_0,FUNC,f,the function object,['f'],"['functions', 'elementary-set-theory']"
63300bba837ac920af73f052_f_1_5_0,FUNC,f,function,['f'],"['functions', 'elementary-set-theory']"
63300bba837ac920af73f052_f_1_13_0,FUNC,F,all functions,['F'],"['functions', 'elementary-set-theory']"
63300bba837ac920af73f052_f_1_14_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
632f9728837ac920af68b083_f_2_25_0,FUNC,B,an element,['B'],"['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
63300bba837ac920af73f0e5_f_0_4_0,FUNC,f,some function,['f'],"['discrete-mathematics', 'elementary-set-theory']"
63300bba837ac920af73f0e5_f_0_6_0,FUNC,g,another function   f_0_6_0,['g'],"['discrete-mathematics', 'elementary-set-theory']"
63300bba837ac920af73f0e5_f_1_0_0,FUNC,f,every function,['f'],"['discrete-mathematics', 'elementary-set-theory']"
632fd3c5837ac920af6e4a4b_f_0_7_0,FUNC,b,a function,['b'],"['functions', 'discrete-mathematics', 'proof-verification', 'elementary-set-theory']"
632fd3c5837ac920af6e4a4b_f_0_11_0,FUNC,R,a function,['R'],"['functions', 'discrete-mathematics', 'proof-verification', 'elementary-set-theory']"
632fd3c5837ac920af6e4a4b_f_0_12_0,FUNC,f: A \to B,the function,"['f', ':', 'A', '\\to', 'B']","['functions', 'discrete-mathematics', 'proof-verification', 'elementary-set-theory']"
632f5f37837ac920af6340c9_f_5_11_0,SET,"\{p,q,r,s\}",set,"['\\{', 'p', ',', 'q', ',', 'r', ',', 's', '\\}']","['abstract-algebra', 'elementary-set-theory']"
632fd3c5837ac920af6e4a4b_f_0_21_0,FUNC,y,a function,['y'],"['functions', 'discrete-mathematics', 'proof-verification', 'elementary-set-theory']"
63300bba837ac920af73f0fa_f_0_32_0,FUNC,f,an injection,['f'],"['elementary-set-theory', 'solution-verification', 'induction', 'first-order-logic']"
632f5f37837ac920af63411b_f_0_0_0,SET,"[0,1]",the sets,"['[', '0', ',', '1', ']']","['elementary-set-theory', 'order-theory']"
63300bba837ac920af73f0fa_f_0_37_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'solution-verification', 'induction', 'first-order-logic']"
63300bba837ac920af73f0fa_f_0_43_0,FUNC,g,an injection,['g'],"['elementary-set-theory', 'solution-verification', 'induction', 'first-order-logic']"
63300bba837ac920af73f0fa_f_1_16_0,FUNC,f : X\to Y,a function   f_1_16_0,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'solution-verification', 'induction', 'first-order-logic']"
632f5f37837ac920af634236_f_1_6_0,FUNC,f:Y \to X,all functions,"['f', ':', 'Y', '\\to', 'X']","['functions', 'elementary-set-theory', 'notation', 'exponentiation']"
632f9728837ac920af68b11f_f_1_2_0,SET,"\{i,j\}",the two - element subset   f_1_2_0,"['\\{', 'i', ',', 'j', '\\}']","['elementary-set-theory', 'recreational-mathematics']"
632fd3c5837ac920af6e4a7b_f_1_12_0,FUNC,g:A\cap B\to A\cap B,a bijection,"['g', ':', 'A', '\\cap', 'B', '\\to', 'A', '\\cap', 'B']",['elementary-set-theory']
632f5f37837ac920af634248_f_0_13_0,SET,S^m_i,the set,"['S', '^', 'm']","['real-analysis', 'elementary-set-theory']"
63300bba837ac920af73f15f_f_1_2_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'infinity']"
632f5f37837ac920af634266_f_1_14_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
63300bba837ac920af73f16a_f_2_0_0,SET,\{a\},the set,"['\\{', 'a', '\\}']","['elementary-set-theory', 'graph-theory']"
63300bba837ac920af73f16a_f_3_5_0,SCAL,7,minimal numbers,7,"['elementary-set-theory', 'graph-theory']"
63300bba837ac920af73f1e4_f_0_4_0,FUNC,g,a function,['g'],"['elementary-set-theory', 'set-theory', 'axiom-of-choice']"
632f5f37837ac920af634353_f_2_0_0,SCAL,\binom{n}{k},the number,"['\\binom', '{', 'n', '}', '{', 'k', '}']","['probability', 'combinatorics', 'algebra-precalculus', 'statistics', 'elementary-set-theory']"
632f5f37837ac920af634396_f_1_6_0,FUNC,f,a bijection,['f'],"['functions', 'elementary-set-theory']"
632f5f37837ac920af634396_f_1_18_0,FUNC,g,a bijection,['g'],"['functions', 'elementary-set-theory']"
632fd3c5837ac920af6e4be8_f_0_1_0,FUNC,f,a surjective function   f_0_1_0,['f'],"['elementary-set-theory', 'first-order-logic', 'axiom-of-choice']"
632fd3c5837ac920af6e4be8_f_0_4_0,FUNC,g,a surjective function,['g'],"['elementary-set-theory', 'first-order-logic', 'axiom-of-choice']"
632f9728837ac920af68b27c_f_0_10_0,FUNC,f: \mathbb{N}\to A,a surjective function   f_0_10_0,"['f', ':', '\\mathbb{N}', '\\to', 'A']","['elementary-set-theory', 'axiom-of-choice']"
632fd3c5837ac920af6e4c09_f_2_5_0,FUNC,f:A\to\mathbb{N},a bijective function,"['f', ':', 'A', '\\to', '\\mathbb{N}']","['real-analysis', 'functions', 'elementary-set-theory']"
63300bba837ac920af73f260_f_0_2_0,FUNC,x:J\to X,a function   f_0_2_0,"['x', ':', 'J', '\\to', 'X']",['elementary-set-theory']
63300bba837ac920af73f260_f_0_4_0,FUNC,F,map,['F'],['elementary-set-theory']
632fd3c5837ac920af6e4c09_f_2_31_0,FUNC,f:X\to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['real-analysis', 'functions', 'elementary-set-theory']"
632f5f37837ac920af6343e1_f_4_0_0,SET,\{x\},The set   f_4_0_0,"['\\{', 'x', '\\}']","['elementary-set-theory', 'notation']"
632fd3c5837ac920af6e4c11_f_2_11_0,FUNC,f,the function,['f'],"['general-topology', 'elementary-set-theory']"
632fd3c5837ac920af6e4c1d_f_0_5_0,FUNC,n,a function,['n'],"['combinatorics', 'statistics', 'elementary-set-theory', 'clustering']"
63300bba837ac920af73f273_f_2_1_0,SET,\mathbb P,a set   f_2_1_0,"['\\mathbb', 'P']","['elementary-set-theory', 'solution-verification', 'fake-proofs']"
632f9728837ac920af68b338_f_0_1_0,FUNC,f:X\to Y,a function,"['f', ':', 'X', '\\to', 'Y']",['elementary-set-theory']
63300bba837ac920af73f2a0_f_1_9_0,FUNC,f,", a new function symbol   f_1_9_0",['f'],['elementary-set-theory']
63300bba837ac920af73f2a0_f_2_45_0,SET,\mathbb{R}^2,a set,"['\\mathbb{R}', '^', '2']",['elementary-set-theory']
632f5f37837ac920af63444f_f_1_5_0,SET,"\{a,b\}",sets,"['\\{', 'a', ',', 'b', '\\}']",['elementary-set-theory']
632f9728837ac920af68b383_f_1_7_0,SET,\varnothing,and pairwise disjoint sets,\varnothing,"['elementary-set-theory', 'axiom-of-choice']"
632f5f38837ac920af6344db_f_2_2_0,FUNC,f,a surjective function,['f'],['elementary-set-theory']
632f9728837ac920af68b47e_f_2_15_0,FUNC,B,functions,['B'],"['elementary-set-theory', 'relations', 'function-and-relation-composition']"
632f5f38837ac920af634565_f_0_2_0,FUNC,k:H\rightarrow H,a function,"['k', ':', 'H', '\\rightarrow', 'H']","['real-analysis', 'elementary-set-theory']"
632f5f38837ac920af634565_f_0_3_0,FUNC,f:\mathbb{N}\rightarrow H,a unique function   f_0_3_0,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'H']","['real-analysis', 'elementary-set-theory']"
632f5f38837ac920af634565_f_2_5_0,FUNC,k,the function,['k'],"['real-analysis', 'elementary-set-theory']"
632f5f38837ac920af634565_f_3_2_0,FUNC,W,not the identity function,['W'],"['real-analysis', 'elementary-set-theory']"
632f9729837ac920af68b5e6_f_0_2_0,FUNC,f,the map,['f'],"['abstract-algebra', 'elementary-set-theory', 'order-theory', 'lattice-orders']"
632f5f38837ac920af6345c3_f_1_10_0,FUNC,F,a function   f_1_10_0,['F'],"['elementary-set-theory', 'logic']"
632f5f38837ac920af6345c3_f_1_43_0,SET,F(n),the set,"['F', '(', 'n', ')']","['elementary-set-theory', 'logic']"
632fd3c6837ac920af6e4d67_f_1_0_0,SET,"\{2, 4\}",an element,"['\\{', '2', ',', '4', '\\}']",['elementary-set-theory']
632f9729837ac920af68b6ed_f_0_6_0,FUNC,f:I\to X,functions   f_0_6_0,"['f', ':', 'I', '\\to', 'X']",['elementary-set-theory']
63300bbb837ac920af73f51f_f_2_8_0,FUNC,f(a)=1,the corresponding function,"['f', '(', 'a', ')', '=', '1']","['elementary-set-theory', 'cardinals', 'infinity']"
632f9729837ac920af68b6ed_f_2_4_0,FUNC,x,a function,['x'],['elementary-set-theory']
63300bbb837ac920af73f521_f_0_4_0,FUNC,f: X \to Y,a bijection,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'cardinals']"
632f9729837ac920af68b6ed_f_2_22_0,FUNC,x,all functions,['x'],['elementary-set-theory']
63300bbb837ac920af73f521_f_0_15_0,FUNC,g:X \to Y,a bijection,"['g', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'cardinals']"
632f5f38837ac920af63465f_f_1_1_0,FUNC,f,a function,['f'],"['real-analysis', 'elementary-set-theory', 'rational-numbers']"
63300bbb837ac920af73f625_f_0_0_0,FUNC,f: S \to T,an injection,"['f', ':', 'S', '\\to', 'T']","['elementary-set-theory', 'solution-verification', 'cardinals']"
63300bbb837ac920af73f625_f_0_1_0,FUNC,A,an injection,['A'],"['elementary-set-theory', 'solution-verification', 'cardinals']"
63300bbb837ac920af73f625_f_1_8_0,FUNC,f: S \to T,an injection,"['f', ':', 'S', '\\to', 'T']","['elementary-set-theory', 'solution-verification', 'cardinals']"
632f9729837ac920af68b78b_f_0_2_0,FUNC,g,a function   f_0_2_0,['g'],"['functions', 'elementary-set-theory']"
632f5f38837ac920af6346f9_f_2_10_0,FUNC,A,maps,['A'],"['real-analysis', 'elementary-set-theory']"
632f5f38837ac920af6346f9_f_2_11_0,FUNC,b,a bijection   f_2_11_0,['b'],"['real-analysis', 'elementary-set-theory']"
632f5f38837ac920af6346f9_f_2_15_0,FUNC,b\circ f,a bijection,"['b', '\\circ', 'f']","['real-analysis', 'elementary-set-theory']"
63300bbb837ac920af73f678_f_1_10_0,SET,A \cap X,the constructed set   f_1_10_0,"['A', '\\cap', 'X']",['elementary-set-theory']
632f9729837ac920af68b817_f_0_1_0,FUNC,f:A \rightarrow B,all functions,"['f', ':', 'A', '\\rightarrow', 'B']","['functions', 'elementary-set-theory']"
632f5f38837ac920af634747_f_1_61_0,FUNC,f,functions,['f'],"['general-topology', 'measure-theory', 'elementary-set-theory']"
632f5f38837ac920af634747_f_1_62_0,FUNC,f\colon \mathbb{N} \to \mathbb{N},functions,"['f', '\\colon', '\\mathbb{N}', '\\to', '\\mathbb{N}']","['general-topology', 'measure-theory', 'elementary-set-theory']"
63300bbb837ac920af73f7eb_f_2_5_0,FUNC,f,a function,['f'],['elementary-set-theory']
63300bbb837ac920af73f7eb_f_2_11_0,FUNC,f,a function   f_2_11_0,['f'],['elementary-set-theory']
632f5f38837ac920af634952_f_2_4_0,FUNC,h,a bijection,['h'],"['elementary-set-theory', 'real-numbers']"
632f9729837ac920af68b8bc_f_3_6_0,SET,"\{1,2\}",the sets,"['\\{', '1', ',', '2', '\\}']","['algorithms', 'elementary-set-theory', 'relations']"
632f9729837ac920af68b8bc_f_4_0_0,SET,"\{1,2,3,4,6\}",the set   f_4_0_0,"['\\{', '1', ',', '2', ',', '3', ',', '4', ',', '6', '\\}']","['algorithms', 'elementary-set-theory', 'relations']"
632f9729837ac920af68b8c6_f_0_3_0,SCAL,4,the same value,4,"['functions', 'elementary-set-theory']"
632f9729837ac920af68b8c6_f_1_0_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
632f5f38837ac920af6349f4_f_1_8_0,FUNC,A,the first one ) map,['A'],['elementary-set-theory']
63300bbb837ac920af73f8f3_f_0_51_0,FUNC,h,the function,['h'],"['real-analysis', 'general-topology', 'analysis', 'elementary-set-theory', 'rational-numbers']"
632f5f38837ac920af6349f4_f_4_0_0,FUNC,f:2^\mathbb{N}\to\mathbb{N}^\mathbb{N},a bijection   f_4_0_0,"['f', ':', '2', '^', '\\mathbb{N}', '\\to', '\\mathbb{N}', '^', '\\mathbb{N}']",['elementary-set-theory']
632f5f39837ac920af634b2f_f_0_0_0,FUNC,f: \mathbb{R}^2 \to \mathbb{R},the function,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}']",['elementary-set-theory']
632f5f39837ac920af634b2f_f_0_14_0,FUNC,g: \mathbb{R}^2 \to \mathbb{R},a bijection,"['g', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}']",['elementary-set-theory']
632f5f39837ac920af634b80_f_0_0_0,FUNC,f:A\to B,a bijective mapping,"['f', ':', 'A', '\\to', 'B']",['elementary-set-theory']
63300bbb837ac920af73fa3d_f_0_14_0,FUNC,f,a function,['f'],"['real-analysis', 'elementary-set-theory', 'proof-writing', 'solution-verification']"
632f5f39837ac920af634dc8_f_1_0_0,FUNC,F,an injective function,['F'],"['functions', 'elementary-set-theory', 'cardinals']"
632f5f39837ac920af634dc8_f_1_4_0,FUNC,F,a function,['F'],"['functions', 'elementary-set-theory', 'cardinals']"
632f5f39837ac920af634dc8_f_2_0_0,FUNC,F,a function,['F'],"['functions', 'elementary-set-theory', 'cardinals']"
63300bbc837ac920af73fb2c_f_0_13_0,FUNC,f: X \to Y,f_0_12_0   and any function   f_0_13_0,"['f', ':', 'X', '\\to', 'Y']","['elementary-set-theory', 'solution-verification', 'cardinals', 'axiom-of-choice']"
63300bbc837ac920af73fb2c_f_0_17_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'solution-verification', 'cardinals', 'axiom-of-choice']"
632f972a837ac920af68bbbe_f_3_7_0,FUNC,f,an injection,['f'],"['functions', 'elementary-set-theory', 'inverse']"
63300bbc837ac920af73fcc9_f_0_0_0,FUNC,f \colon A \to B,a function,"['f', '\\colon', 'A', '\\to', 'B']","['functions', 'elementary-set-theory', 'terminology', 'definition']"
63300bbc837ac920af73fcc9_f_0_3_0,FUNC,f,The function   f_0_3_0,['f'],"['functions', 'elementary-set-theory', 'terminology', 'definition']"
63300bbc837ac920af73fcc9_f_0_6_0,FUNC,f,The function   f_0_6_0,['f'],"['functions', 'elementary-set-theory', 'terminology', 'definition']"
63300bbc837ac920af73fcc9_f_1_12_0,FUNC,f:A\to B,The function,"['f', ':', 'A', '\\to', 'B']","['functions', 'elementary-set-theory', 'terminology', 'definition']"
63300bbc837ac920af73fcd7_f_1_0_0,FUNC,F,i.e. a class function,['F'],"['functions', 'elementary-set-theory']"
