fid,mtype,exprstr,mention,tokens,type_tokens,tags
632fcd23837ac920af6e0660_f_0_6_0,FUNC,g(z)=e^{f(z)},the function   f_0_6_0,"['g', '(', 'z', ')', '=', 'e', '^', '{', 'f', '(', 'z', ')', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'R_BRACE']","['complex-analysis', 'analytic-geometry']"
632fcd23837ac920af6e0660_f_1_0_0,FUNC,g(z)=e^{f(z)},a function,"['g', '(', 'z', ')', '=', 'e', '^', '{', 'f', '(', 'z', ')', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'R_BRACE']","['complex-analysis', 'analytic-geometry']"
632f6605837ac920af643865_f_2_0_0,FUNC," f(a,b) = \frac{2}{a^2} + \frac{4}{b^2} - 1 ",Your constraint function,"['f', '(', 'a', ',', 'b', ')', '=', '\\frac', '{', '2', '}', '{', 'a', '^', '2', '}', '+', '\\frac', '{', '4', '}', '{', 'b', '^', '2', '}', '-', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'SUB', 'expr_atom', '__ANON_3']","['optimization', 'analytic-geometry', 'conic-sections', 'constraints']"
632f972c837ac920af68c917_f_0_0_0,FUNC,f(x)=ax^2+b,two functions,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1']","['functional-analysis', 'analytic-geometry', 'exponentiation']"
632f972c837ac920af68c917_f_0_9_0,FUNC,f(1)=g(1),the base functions,"['f', '(', '1', ')', '=', 'g', '(', '1', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","['functional-analysis', 'analytic-geometry', 'exponentiation']"
632f6609837ac920af645074_f_1_0_0,FUNC,f(x)=c,the function,"['f', '(', 'x', ')', '=', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","['calculus', 'derivatives', 'analytic-geometry']"
632fd3c2837ac920af6e384c_f_2_1_0,FUNC,f:\mathbb R\times\mathbb R\to\mathbb R\times\mathbb R,a bijection   f_2_1_0,"['f', ':', '\\mathbb', 'R', '\\times', '\\mathbb', 'R', '\\to', '\\mathbb', 'R', '\\times', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'sets__OP_CART', 'SET_FAT', '__ANON_0', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'sets__OP_CART', 'SET_FAT', '__ANON_0']","['geometry', 'analytic-geometry', 'axioms']"
632fd3c2837ac920af6e384c_f_2_6_0,FUNC,f,a bijection,['f'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry', 'axioms']"
632fd3c2837ac920af6e384c_f_2_9_0,FUNC,f,the bijection,['f'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry', 'axioms']"
633004c8837ac920af736093_f_0_1_0,FUNC,f,quot;the function   f_0_1_0,['f'],"['func_name', '__ANON_1']","['group-theory', 'number-theory', 'notation', 'analytic-geometry']"
633004c8837ac920af736093_f_1_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['group-theory', 'number-theory', 'notation', 'analytic-geometry']"
632f972e837ac920af68dc8e_f_6_4_0,FUNC,p,a function,['p'],"['func_name', '__ANON_1']","['algebra-precalculus', 'analytic-geometry']"
633004c9837ac920af7362c0_f_2_11_0,FUNC,f,Sometimes different support functions,['f'],"['func_name', '__ANON_1']","['real-analysis', 'matrices', 'analytic-geometry', 'approximation', '3d']"
632fd3c6837ac920af6e500b_f_2_9_0,FUNC,d:\mathbb{R}^4\times\mathbb{R}^4\to\mathbb{R},the function,"['d', ':', '\\mathbb{R}', '^', '4', '\\times', '\\mathbb{R}', '^', '4', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'sets__OP_CART', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['soft-question', 'analytic-geometry', 'coordinate-systems']"
632f660d837ac920af646988_f_0_1_0,SCAL,x+ yi,the complex number,"['x', '+', 'y', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['geometry', 'complex-numbers', 'analytic-geometry', 'mobius-transformation']"
632fd3c6837ac920af6e50c5_f_0_6_0,FUNC,F,the function   f_0_6_0,['F'],"['func_name', '__ANON_0']","['geometry', 'analytic-geometry']"
632fd3c6837ac920af6e50c5_f_0_12_0,FUNC,F,the function,['F'],"['func_name', '__ANON_0']","['geometry', 'analytic-geometry']"
632f660e837ac920af646de4_f_1_10_0,SCAL,(1),absolute value,"['(', '1', ')']","['group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","['analytic-geometry', 'circles']"
632fd3c9837ac920af6e6222_f_0_6_0,FUNC,f:D^3 \to R,the maps   f_0_6_0,"['f', ':', 'D', '^', '3', '\\to', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'CARET', '__ANON_3', 'TO', '__ANON_0']","['general-topology', 'analytic-geometry']"
633004cf837ac920af73917a_f_1_0_0,FUNC,f(x)=x^x,the function,"['f', '(', 'x', ')', '=', 'x', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', '__ANON_1']","['limits', 'soft-question', 'analytic-geometry']"
632fd3cc837ac920af6e6faa_f_1_2_0,SCAL,0,the winding number,0,"['expr_atom', '__ANON_3']","['algorithms', 'analytic-geometry', 'computational-geometry', 'polygons']"
632fd3cc837ac920af6e6fff_f_0_7_0,FUNC,g,the proper functions,['g'],"['func_name', '__ANON_1']","['general-topology', 'functions', 'analytic-geometry']"
632fd3ce837ac920af6e7a38_f_0_25_0,SET,\mathbb P^1,an affinoid subset,"['\\mathbb', 'P', '^', '1']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['abstract-algebra', 'algebraic-number-theory', 'analytic-geometry', 'projective-space', 'rigid-analytic-spaces']"
632f9d9b837ac920af690e09_f_1_56_0,FUNC,p: K^n \to K^{n - 1},the map,"['p', ':', 'K', '^', 'n', '\\to', 'K', '^', '{', 'n', '-', '1', '}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0', 'CARET', 'L_BRACE', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']","['algebraic-geometry', 'analytic-geometry', 'complex-geometry']"
632f9d9c837ac920af691666_f_1_3_0,SCAL,0,the eigenvalues,0,"['expr_atom', '__ANON_3']",['analytic-geometry']
632f9d9f837ac920af692742_f_0_11_0,FUNC,f,meromorphic functions,['f'],"['func_name', '__ANON_1']","['algebraic-geometry', 'analytic-geometry', 'complex-geometry', 'riemann-surfaces', 'sheaf-cohomology']"
632fd3d9837ac920af6ec460_f_0_1_0,FUNC,f(x) = x^2,two functions,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['geometry', 'functions', 'analytic-geometry']"
632fd3d9837ac920af6ec460_f_2_0_0,FUNC,f(x) = g(x),the two functions,"['f', '(', 'x', ')', '=', 'g', '(', 'x', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['geometry', 'functions', 'analytic-geometry']"
632fd3d9837ac920af6ec69a_f_1_14_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['vectors', 'analytic-geometry', 'circles', 'polar-coordinates', 'spherical-coordinates']"
632f6d00837ac920af64a758_f_0_0_0,FUNC,f:\mathbb{R}^2 \rightarrow  \mathbb{R},a scalar function,"['f', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['euclidean-geometry', 'analytic-geometry']"
632f6d01837ac920af64acb6_f_0_3_0,FUNC,f:B^n\to B^n,any continuous map,"['f', ':', 'B', '^', 'n', '\\to', 'B', '^', 'n']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0', 'CARET', '__ANON_1']","['real-analysis', 'general-topology', 'algebraic-topology', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_8_0,FUNC,f : X \to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_10_0,FUNC,f,& quot;the mere function,['f'],"['func_name', '__ANON_1']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_31_0,FUNC,f : X \to Y,only   some   functions,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_2_3_0,SET,\mathbb{R},a set,\mathbb{R},"['set_constant', 'SET_BASIC']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
632f9da1837ac920af6938d1_f_1_0_0,SCAL,0.9^m,values,"['^', 'm']","['exp', 'expr_atom', 'number', 'CARET', '__ANON_1']","['probability', 'geometry', 'analytic-geometry']"
632fd3dc837ac920af6edb7f_f_2_5_0,FUNC,"f(x,y)=x^2+y^2-r^2",a function,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '-', 'r', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['functions', 'analytic-geometry', 'graphing-functions']"
63300bb9837ac920af73e982_f_1_2_0,FUNC,P,the function   f_1_2_0,['P'],"['func_name', '__ANON_0']","['matrices', 'geometry', 'analytic-geometry']"
632fd3dd837ac920af6edd2d_f_3_17_0,FUNC,g,The function   f_3_17_0,['g'],"['func_name', '__ANON_1']","['analytic-geometry', 'plane-geometry']"
632f9da2837ac920af693b70_f_2_8_0,FUNC,H,The corresponding affine map,['H'],"['func_name', '__ANON_0']","['linear-algebra', 'analytic-geometry']"
632fdaeb837ac920af6eeb6f_f_2_13_0,SCAL,168,the number   f_2_13_0,"['1', '6', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles', 'slope']"
632f6d0a837ac920af64e2d7_f_0_2_0,SCAL,k/f^2,value   f_0_2_0,"['k', '/', 'f', '^', '2']","['mp', '__ANON_1', 'DIV', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['analytic-geometry', 'conic-sections']"
632f6d0c837ac920af64f0f3_f_3_14_0,SCAL,y^2,the value,"['y', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['derivatives', 'analytic-geometry', 'conic-sections']"
63300bc8837ac920af7434cd_f_1_2_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']",['analytic-geometry']
63300bc9837ac920af743cfa_f_0_0_0,FUNC,d,a distance function,['d'],"['func_name', '__ANON_1']","['geometry', 'metric-spaces', 'analytic-geometry', 'coordinate-systems']"
632f74dd837ac920af654d53_f_1_5_0,FUNC,g:I \to X,every   bijective   function,"['g', ':', 'I', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['algebra-precalculus', 'analytic-geometry', 'parametric']"
632f74e4837ac920af657b12_f_1_13_0,SCAL,-\frac{1}{4i},the constant,"['-', '\\frac', '{', '1', '}', '{', '4', 'i', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']","['geometry', 'complex-numbers', 'euclidean-geometry', 'analytic-geometry', 'area']"
63300bd5837ac920af748895_f_2_7_0,FUNC,x,an odd function,['x'],"['func_name', '__ANON_1']","['integration', 'multivariable-calculus', 'analytic-geometry', 'volume', 'multiple-integral']"
633012af837ac920af749427_f_0_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012af837ac920af749427_f_0_4_0,FUNC,g,a   function,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012af837ac920af749427_f_0_6_0,FUNC,h,a function   f_0_6_0,['h'],"['func_name', '__ANON_1']","['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012c0837ac920af74b834_f_0_18_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['definition', 'analytic-geometry']"
633012c0837ac920af74b932_f_0_0_0,SCAL,2,the number,2,"['expr_atom', '__ANON_3']",['analytic-geometry']
632f74e9837ac920af659ab8_f_0_7_0,SCAL,2a,constant length,"['2', 'a']","['unary', 'expr_atom', '__ANON_3', '__ANON_1']","['analytic-geometry', '3d']"
632fa43a837ac920af69eae9_f_0_7_0,FUNC,f(x) = ex^{-x},the function,"['f', '(', 'x', ')', '=', 'e', 'x', '^', '{', '-', 'x', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', '__ANON_1', 'R_BRACE']","['asymptotics', 'analytic-geometry']"
632fa43c837ac920af69f518_f_1_0_0,SCAL,0 ,a simple eigenvalue,0,"['expr_atom', '__ANON_3']","['linear-algebra', 'geometry', 'graph-theory', 'analytic-geometry', 'algebraic-graph-theory']"
632fdb01837ac920af6f8695_f_0_2_0,FUNC,n,entire complex functions,['n'],"['func_name', '__ANON_1']","['complex-analysis', 'analytic-geometry', 'ideals', 'several-complex-variables']"
632fdb01837ac920af6f8695_f_0_5_0,FUNC,f,functions,['f'],"['func_name', '__ANON_1']","['complex-analysis', 'analytic-geometry', 'ideals', 'several-complex-variables']"
632fdb01837ac920af6f8695_f_0_13_0,FUNC,f,functions,['f'],"['func_name', '__ANON_1']","['complex-analysis', 'analytic-geometry', 'ideals', 'several-complex-variables']"
632fdb01837ac920af6f885a_f_1_0_0,FUNC,g,a function,['g'],"['func_name', '__ANON_1']","['linear-algebra', 'abstract-algebra', 'analytic-geometry']"
632fdb01837ac920af6f885a_f_1_6_0,FUNC,f : X  \to \mathbb R,any function,"['f', ':', 'X', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['linear-algebra', 'abstract-algebra', 'analytic-geometry']"
633012c5837ac920af74e068_f_0_2_0,SET,\mathbb A,an arbitrary set,"['\\mathbb', 'A']","['SET_FAT', '__ANON_0']","['geometry', 'analytic-geometry']"
632fa43e837ac920af6a01f3_f_1_30_0,SCAL,1,eigenvalues,1,"['expr_atom', '__ANON_3']","['linear-transformations', 'analytic-geometry']"
632fe1bf837ac920af6f9632_f_1_6_0,FUNC,f,a quadratic function,['f'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry']"
632fe1c0837ac920af6f9954_f_0_4_0,SCAL,5 ,those values,5,"['expr_atom', '__ANON_3']","['special-functions', 'intuition', 'analytic-geometry']"
632fe1c1837ac920af6fa205_f_1_8_0,SCAL,1,the value,1,"['expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'analytic-geometry', 'graphing-functions']"
632fe1c1837ac920af6fa205_f_1_11_0,SCAL,0,the value   f_1_11_0,0,"['expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'analytic-geometry', 'graphing-functions']"
632fe1c1837ac920af6fa205_f_1_13_0,SCAL,1,the value   f_1_13_0,1,"['expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'analytic-geometry', 'graphing-functions']"
632fe1c1837ac920af6fa391_f_0_1_0,FUNC,g(y)=4-y^2,     The two functions,"['g', '(', 'y', ')', '=', '4', '-', 'y', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'analytic-geometry']"
633012cd837ac920af7517a2_f_1_29_0,FUNC,"i:\{C, D, E\}\to\mathbb R^3",an injective map,"['i', ':', '\\{', 'C', ',', 'D', ',', 'E', '\\}', '\\to', '\\mathbb', 'R', '^', '3']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_0', 'COMMA', 'item', '__ANON_0', 'COMMA', 'item', '__ANON_0', 'R_BRACE_LITERAL', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['geometry', 'analytic-geometry']"
633012ce837ac920af751829_f_3_0_0,SCAL,1,its value,1,"['expr_atom', '__ANON_3']","['linear-algebra', 'analytic-geometry', 'visualization']"
632fa445837ac920af6a395b_f_2_4_0,SCAL,\frac{1}{8},a maximal value,"['\\frac', '{', '1', '}', '{', '8', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","['algebra-precalculus', 'optimization', 'analytic-geometry', 'area', 'a.m.-g.m.-inequality']"
63301968837ac920af7566a5_f_1_23_0,SCAL,de,constant,"['d', 'e']","['unary', '__ANON_1', '__ANON_1']","['analytic-geometry', 'conic-sections']"
632f7c49837ac920af65fb7f_f_1_0_0,FUNC,f\colon S^2\to S^2,no continuous map,"['f', '\\colon', 'S', '^', '2', '\\to', 'S', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['analytic-geometry', 'computational-geometry']"
632f7c4a837ac920af6600c5_f_1_4_0,FUNC,f(x)=18/x,Your function,"['f', '(', 'x', ')', '=', '1', '8', '/', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'DIV', '__ANON_1']",['analytic-geometry']
632f7c4a837ac920af66052e_f_1_4_0,SCAL,1 ,whose value,1,"['expr_atom', '__ANON_3']","['analytic-geometry', 'conic-sections']"
6330196d837ac920af758a0d_f_0_7_0,SCAL,b^2,The constant k,"['b', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'analytic-geometry', 'conic-sections']"
632fe8ac837ac920af702b04_f_1_3_0,SCAL,3,eigenvalues   f_1_3_0,3,"['expr_atom', '__ANON_3']","['linear-algebra', 'geometry', 'eigenvalues-eigenvectors', 'analytic-geometry', 'conic-sections']"
632fe8ac837ac920af702b04_f_1_9_0,SCAL,3,eigenvalues,3,"['expr_atom', '__ANON_3']","['linear-algebra', 'geometry', 'eigenvalues-eigenvectors', 'analytic-geometry', 'conic-sections']"
632f7c4d837ac920af661700_f_1_0_0,FUNC,\tan,The tangent function,\tan,FUNC_NORMAL,"['calculus', 'geometry', 'trigonometry', 'terminology', 'analytic-geometry']"
63301971837ac920af75a750_f_2_4_0,SET,"(x,y)",the set,"['(', 'x', ',', 'y', ')']","['interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']",['analytic-geometry']
632fe8b1837ac920af704cd9_f_0_0_0,FUNC,f(x) = abs(x-1)^n + 1,a parabolic transformation function,"['f', '(', 'x', ')', '=', 'a', 'b', 's', '(', 'x', '-', '1', ')', '^', 'n', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', '__ANON_1', '__ANON_1', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['analytic-geometry', 'elliptic-curves']"
632f7c4e837ac920af661c6a_f_1_2_0,SET,U\cap W,the set,"['U', '\\cap', 'W']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0']","['linear-algebra', 'analytic-geometry']"
632faafc837ac920af6a5fef_f_0_7_0,SCAL,0,a values,0,"['expr_atom', '__ANON_3']","['geometry', 'convex-analysis', 'analytic-geometry', 'convex-optimization', 'change-of-basis']"
632fe8b1837ac920af704e7c_f_1_0_0,FUNC,"F(x,y)=0",implicit function,"['F', '(', 'x', ',', 'y', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","['analytic-geometry', 'conic-sections']"
632fe8b2837ac920af7055fa_f_0_3_0,FUNC,"f(x, y, z) = 0",a function   f_0_3_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'functions', 'systems-of-equations', 'analytic-geometry', 'parametric']"
63301973837ac920af75b6d7_f_1_1_0,SCAL,1,values,1,"['expr_atom', '__ANON_3']",['analytic-geometry']
63301973837ac920af75b6d7_f_1_3_0,SCAL,4,f_1_2_0   values,4,"['expr_atom', '__ANON_3']",['analytic-geometry']
632fe8b5837ac920af7066f8_f_0_0_0,FUNC,f:\mathbb{R}^2\to\mathbb{R}^2,a mapping   f_0_0_0,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['geometry', 'functions', 'analytic-geometry']"
632fab00837ac920af6a7e1a_f_1_10_0,SCAL,1 ,this value,1,"['expr_atom', '__ANON_3']","['analytic-geometry', '3d', 'quadrics']"
63301f95837ac920af75ecd7_f_1_19_0,SCAL,(a-b),the value,"['(', 'a', '-', 'b', ')']","['group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN']","['analytic-geometry', 'conic-sections']"
632f7c51837ac920af662cb1_f_0_1_0,FUNC,T:\mathbb{R}^3\rightarrow\mathbb{R}^3,      ( i.e. a map   f_0_1_0   s.t,"['T', ':', '\\mathbb{R}', '^', '3', '\\rightarrow', '\\mathbb{R}', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632f7c51837ac920af662cb1_f_3_0_0,FUNC,T: U\to E^3,an isometric map,"['T', ':', 'U', '\\to', 'E', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632f7c51837ac920af662cb1_f_3_39_0,FUNC,T: U\to E^3,each isometric map,"['T', ':', 'U', '\\to', 'E', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632fab01837ac920af6a8367_f_0_8_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'analytic-geometry', 'graphing-functions', 'implicit-function']"
632fab01837ac920af6a8367_f_7_1_0,SCAL,0,the value   f_7_1_0,0,"['expr_atom', '__ANON_3']","['real-analysis', 'functions', 'analytic-geometry', 'graphing-functions', 'implicit-function']"
632fab01837ac920af6a8367_f_7_14_0,FUNC,g,an inverse function,['g'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'analytic-geometry', 'graphing-functions', 'implicit-function']"
632fab04837ac920af6a968f_f_2_2_0,SCAL,1,value,1,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry']"
632fab04837ac920af6a968f_f_2_4_0,SCAL,0,value,0,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry']"
632fe8bb837ac920af709493_f_0_0_0,SCAL,10 ,constant length   f_0_0_0 units,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['real-analysis', 'linear-algebra', 'geometry', 'analytic-geometry']"
