fid,mtype,exprstr,mention,tokens,type_tokens,tags
632fdaf2837ac920af6f1ceb_f_1_0_0,SCAL,(n-1),the maximum number,"['(', 'n', '-', '1', ')']","['group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']","['geometry', 'euclidean-geometry', 'tiling', 'music-theory']"
632f6d07837ac920af64cec6_f_0_5_0,FUNC,S:Y\to X,a mapping   f_0_5_0,"['S', ':', 'Y', '\\to', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['general-topology', 'euclidean-geometry']"
632fdaf3837ac920af6f2126_f_0_0_0,FUNC,f:\mathbb{R}^2\to \mathbb{R}^2,a mapping   f_0_0_0,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f2126_f_0_4_0,FUNC,f,The function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f2126_f_1_5_0,FUNC,T,the function,['T'],"['func_name', '__ANON_0']","['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f213a_f_0_0_0,FUNC,F,the implicit function,['F'],"['func_name', '__ANON_0']","['calculus', 'euclidean-geometry']"
632f6d09837ac920af64d7a9_f_1_0_0,FUNC,f(x)=-x,the two functions,"['f', '(', 'x', ')', '=', '-', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'SUB', '__ANON_1']","['geometry', 'inequality', 'euclidean-geometry', 'graphing-functions', 'wolfram-alpha']"
633004c1837ac920af7331e1_f_1_54_0,FUNC,C,a cyclicity map   f_1_54_0,['C'],"['func_name', '__ANON_0']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_69_0,SET,"\{a,b,c,d\}",the set,"['\\{', 'a', ',', 'b', ',', 'c', ',', 'd', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_87_0,SET,"\{a,b,c,d,e\}",the set   f_1_87_0,"['\\{', 'a', ',', 'b', ',', 'c', ',', 'd', ',', 'e', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_89_0,SCAL,5,a prime number,5,"['expr_atom', '__ANON_3']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
632fdaf5837ac920af6f30a6_f_2_4_0,SCAL,14,the desired number,"['1', '4']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry', 'combinatorial-geometry']"
632fdaf7837ac920af6f43ea_f_1_33_0,FUNC,f,an   f_1_32_0 -invariant function,['f'],"['func_name', '__ANON_1']","['group-theory', 'euclidean-geometry', 'lie-groups', 'invariant-theory']"
633004c4837ac920af734471_f_1_37_0,FUNC,h,a function,['h'],"['func_name', '__ANON_1']","['euclidean-geometry', 'affine-geometry']"
632fdafa837ac920af6f51f3_f_1_2_0,FUNC,f,that any distance preserving map,['f'],"['func_name', '__ANON_1']","['differential-geometry', 'euclidean-geometry', 'isometry']"
632fdafa837ac920af6f51f3_f_1_15_0,FUNC,A,a unique orthgonal linear map   f_1_15_0,['A'],"['func_name', '__ANON_0']","['differential-geometry', 'euclidean-geometry', 'isometry']"
632f74d9837ac920af653124_f_1_0_0,FUNC,f:\mathbb R^n\to\mathbb R,Any function,"['f', ':', '\\mathbb', 'R', '^', 'n', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_1', 'TO', 'SET_FAT', '__ANON_0']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_5_0,FUNC,f:\mathbb R\to\mathbb R,The function,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_6_0,FUNC,F:\mathbb R\to\mathbb R^2,a function,"['F', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R', '^', '2']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_8_0,FUNC,F,The function,['F'],"['func_name', '__ANON_0']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632fdafb837ac920af6f596f_f_0_16_0,SCAL,\frac{1}{7},the area ratio,"['\\frac', '{', '1', '}', '{', '7', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","['geometry', 'euclidean-geometry', 'triangles', 'area', 'ratio']"
632f74dc837ac920af65450c_f_0_0_0,FUNC,f(x)=-x^2+1,the functions,"['f', '(', 'x', ')', '=', '-', 'x', '^', '2', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","['geometry', 'algebraic-geometry', 'euclidean-geometry']"
632fdafb837ac920af6f5b41_f_2_7_0,SCAL,9,a maximal value,9,"['expr_atom', '__ANON_3']","['optimization', 'euclidean-geometry', 'triangles', 'circles', 'plane-geometry']"
633004c7837ac920af735459_f_0_6_0,FUNC,f,a bijection   f_0_6_0,['f'],"['func_name', '__ANON_1']","['geometry', 'metric-spaces', 'euclidean-geometry']"
632f74de837ac920af65533e_f_0_3_0,FUNC,f:X \rightarrow Y,a function   f_0_3_0,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'functions', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632f74de837ac920af65533e_f_0_7_0,FUNC,f(x) = x + a,function,"['f', '(', 'x', ')', '=', 'x', '+', 'a']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', '__ANON_1']","['geometry', 'functions', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632fdafb837ac920af6f5f00_f_1_33_0,SCAL,1,absolute value,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'isometry']"
632f74e0837ac920af655fed_f_0_0_0,SCAL,618 ,the golden number,"['6', '1', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'trigonometry', 'euclidean-geometry', 'golden-ratio']"
632fdafd837ac920af6f66b3_f_3_81_0,SCAL,1,its maximum value   f_3_81_0,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'triangles', 'alternative-proof']"
632f74e1837ac920af6566e5_f_0_2_0,FUNC,u,  and a continuous function,['u'],"['func_name', '__ANON_1']","['calculus', 'geometry', 'differential-geometry', 'euclidean-geometry']"
633004c9837ac920af73677a_f_0_4_0,SCAL,a^2+b^2-c^2,the value,"['a', '^', '2', '+', 'b', '^', '2', '-', 'c', '^', '2']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['euclidean-geometry', 'triangles', 'visualization', 'triangle-inequality']"
633004ca837ac920af73698d_f_0_4_0,FUNC,n,a function,['n'],"['func_name', '__ANON_1']","['sequences-and-series', 'geometry', 'euclidean-geometry', 'education', 'alternative-proof']"
632f74e4837ac920af657b12_f_1_13_0,SCAL,-\frac{1}{4i},the constant,"['-', '\\frac', '{', '1', '}', '{', '4', 'i', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']","['geometry', 'complex-numbers', 'euclidean-geometry', 'analytic-geometry', 'area']"
632fab0b837ac920af6ac6b4_f_1_0_0,FUNC,D,the midpoint,['D'],"['func_name', '__ANON_0']","['euclidean-geometry', 'triangles', 'area']"
632fdb00837ac920af6f7ca8_f_1_0_0,SCAL,1 ,Pink vertex number   f_1_0_0,1,"['expr_atom', '__ANON_3']",['euclidean-geometry']
632fab0d837ac920af6ad79b_f_0_12_0,FUNC,K,the homothety maps,['K'],"['func_name', '__ANON_0']","['geometry', 'vectors', 'euclidean-geometry']"
632fb20e837ac920af6ae46a_f_1_33_0,FUNC,p:Z\to X,the map,"['p', ':', 'Z', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['general-topology', 'euclidean-geometry', 'hyperbolic-geometry', 'covering-spaces', 'conformal-geometry']"
632fb20e837ac920af6ae46a_f_2_6_0,FUNC,f,the map   f_2_6_0,['f'],"['func_name', '__ANON_1']","['general-topology', 'euclidean-geometry', 'hyperbolic-geometry', 'covering-spaces', 'conformal-geometry']"
632fb20e837ac920af6ae744_f_1_0_0,SET,A \cup B,exactly a triangle,"['A', '\\cup', 'B']","['set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']","['general-topology', 'geometry', 'euclidean-geometry', 'convex-geometry']"
633004cd837ac920af737f72_f_0_17_0,FUNC,"
I: R^n\times R^n\times R^n \rightarrow R
",a multilinear map   f_0_17_0   satisfy,"['I', ':', 'R', '^', 'n', '\\times', 'R', '^', 'n', '\\times', 'R', '^', 'n', '\\rightarrow', 'R']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'CARET', '__ANON_1', 'sets__OP_CART', '__ANON_0', 'CARET', '__ANON_1', 'sets__OP_CART', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0']","['linear-algebra', 'geometry', 'euclidean-geometry', 'inner-products', 'tensors']"
632fe1c1837ac920af6fa20f_f_1_0_0,FUNC,x,the function,['x'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry']"
632fb210837ac920af6af0bf_f_0_0_0,FUNC,d,a distance function,['d'],"['func_name', '__ANON_1']","['euclidean-geometry', 'riemannian-geometry', 'geometric-inequalities']"
633004ce837ac920af7387b6_f_1_14_0,SET,\mathbb{R}^2,circle - center set,"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['geometry', 'set-theory', 'euclidean-geometry', 'triangles', 'triangle-centres']"
632f7c41837ac920af65c972_f_1_142_0,SCAL,1,The complex numbers,1,"['expr_atom', '__ANON_3']","['geometry', 'field-theory', 'euclidean-geometry', 'polygons']"
632fe1c7837ac920af6fca0d_f_0_4_0,SET,C(n),this set,"['C', '(', 'n', ')']","['__ANON_0', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['euclidean-geometry', 'recreational-mathematics']"
632f7c42837ac920af65d259_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632fe1c9837ac920af6fd825_f_0_0_0,FUNC,f\colon\mathbb R^2\to\mathbb R^2,a continuous map,"['f', '\\colon', '\\mathbb', 'R', '^', '2', '\\to', '\\mathbb', 'R', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']",['euclidean-geometry']
632f7c45837ac920af65e6d7_f_0_2_0,FUNC,f:X \to X,a contraction,"['f', ':', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['continuity', 'euclidean-geometry', 'inverse-function']"
632f7c45837ac920af65e6d7_f_0_6_0,FUNC,F:X \to X,the map   f_0_6_0,"['F', ':', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['continuity', 'euclidean-geometry', 'inverse-function']"
633004d2837ac920af73a1b9_f_1_12_0,SCAL,0,a constant,0,"['expr_atom', '__ANON_3']","['geometry', 'metric-spaces', 'euclidean-geometry', 'arc-length', 'rough-path-theory']"
632fe1d4837ac920af702142_f_2_38_0,FUNC,e,an explicit function,['e'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry']"
633004d3837ac920af73ac76_f_0_3_0,SCAL,\frac{8}{3},numbers.(Answer,"['\\frac', '{', '8', '}', '{', '3', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","['geometry', 'euclidean-geometry', 'plane-geometry']"
632f7c48837ac920af65f479_f_0_4_0,FUNC,F,the functions,['F'],"['func_name', '__ANON_0']","['vector-spaces', 'euclidean-geometry', 'vector-analysis', 'topological-vector-spaces']"
632f7c48837ac920af65f479_f_0_10_0,FUNC,c,a continuous function,['c'],"['func_name', '__ANON_1']","['vector-spaces', 'euclidean-geometry', 'vector-analysis', 'topological-vector-spaces']"
632f7c48837ac920af65f479_f_1_4_0,FUNC,c,the function   f_1_4_0,['c'],"['func_name', '__ANON_1']","['vector-spaces', 'euclidean-geometry', 'vector-analysis', 'topological-vector-spaces']"
633004d4837ac920af73b1af_f_2_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry']"
632f7c49837ac920af65fee2_f_4_3_0,SCAL,1,The eigenvalues,1,"['expr_atom', '__ANON_3']","['linear-algebra', 'matrices', 'geometry', 'euclidean-geometry', 'rotations']"
632f7c49837ac920af65fee2_f_4_16_0,SCAL,-1,the eigenvalues,"['-', '1']","['unary', 'SUB', 'expr_atom', '__ANON_3']","['linear-algebra', 'matrices', 'geometry', 'euclidean-geometry', 'rotations']"
633004d5837ac920af73b6ee_f_0_11_0,SCAL,1 ,  and first Betti number,1,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'lie-groups', '3d', 'geometric-topology', 'homogeneous-spaces']"
632f7c4b837ac920af660b09_f_0_0_0,SCAL,7 ,    What do the numbers,7,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
632fb21f837ac920af6b5c6b_f_1_20_0,FUNC,f,a linear map,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'affine-geometry', 'isometry']"
632fb21f837ac920af6b5e43_f_1_41_0,FUNC,h,a bijection,['h'],"['func_name', '__ANON_1']","['general-topology', 'euclidean-geometry']"
632f7c4f837ac920af66221c_f_1_24_0,SCAL,-rx/ry,the value,"['-', 'r', 'x', '/', 'r', 'y']","['mp', 'unary', 'SUB', 'unary', '__ANON_1', '__ANON_1', 'DIV', 'unary', '__ANON_1', '__ANON_1']","['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves', 'plane-geometry']"
632f7c51837ac920af662cb1_f_0_1_0,FUNC,T:\mathbb{R}^3\rightarrow\mathbb{R}^3,      ( i.e. a map   f_0_1_0   s.t,"['T', ':', '\\mathbb{R}', '^', '3', '\\rightarrow', '\\mathbb{R}', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632f7c51837ac920af662cb1_f_3_0_0,FUNC,T: U\to E^3,an isometric map,"['T', ':', 'U', '\\to', 'E', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632f7c51837ac920af662cb1_f_3_39_0,FUNC,T: U\to E^3,each isometric map,"['T', ':', 'U', '\\to', 'E', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['linear-algebra', 'geometry', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry']"
632f7c51837ac920af662fab_f_1_5_0,FUNC,p:R^n\rightarrow T^n,the covering map,"['p', ':', 'R', '^', 'n', '\\rightarrow', 'T', '^', 'n']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0', 'CARET', '__ANON_1']",['euclidean-geometry']
632f7c51837ac920af662fab_f_1_6_0,FUNC,L,the orbit,['L'],"['func_name', '__ANON_0']",['euclidean-geometry']
63300bb7837ac920af73da4d_f_2_6_0,SCAL,4,the value   f_2_6_0,4,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'plane-geometry']"
632f7c55837ac920af6649e5_f_0_1_0,FUNC,d,  and a distance function   f_0_1_0,['d'],"['func_name', '__ANON_1']","['discrete-mathematics', 'metric-spaces', 'euclidean-geometry', 'proof-explanation']"
63300bb8837ac920af73e0af_f_1_11_0,FUNC,f,an invertible function,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'fixed-points']"
632fb8d3837ac920af6b9434_f_1_3_0,FUNC,H,the following statement & ldquo ; f_1_3_0   maps,['H'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'fake-proofs', 'polyhedra', 'platonic-solids']"
63300bb8837ac920af73e47a_f_0_15_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry']"
632fe8b7837ac920af707482_f_0_3_0,SCAL,28 ,the optimal value,"['2', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['integration', 'functional-analysis', 'euclidean-geometry', 'network', 'multigrid']"
632fe8b7837ac920af70783a_f_0_8_0,FUNC,t,f_0_6_0      f_0_7_0   maps   f_0_8_0,['t'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry']"
632fe8b7837ac920af7079e3_f_0_18_0,FUNC,V,a function,['V'],"['func_name', '__ANON_0']","['general-topology', 'euclidean-geometry', 'simplex', 'simplicial-stuff', 'simplicial-complex']"
63300bb9837ac920af73e753_f_0_13_0,FUNC,f:D\rightarrow\mathbb{R},a continuous function   f_0_13_0,"['f', ':', 'D', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['geometry', 'euclidean-geometry', 'triangles']"
63300bb9837ac920af73e753_f_0_34_0,SCAL,1,a non - constantly-,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'triangles']"
632fe8b9837ac920af7085d7_f_2_2_0,FUNC,f: \mathbb{R}^2 \to \mathbb{R},a function,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['euclidean-geometry', 'triangles', 'median']"
632fe8ba837ac920af708f55_f_3_2_0,SCAL,b/a,constant,"['b', '/', 'a']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['geometry', 'euclidean-geometry', 'intuition']"
632fb8d8837ac920af6bb2c6_f_1_26_0,SCAL,a-b,a real number,"['a', '-', 'b']","['additive', '__ANON_1', 'SUB', '__ANON_1']","['geometry', 'euclidean-geometry', 'geometric-construction']"
632f833b837ac920af66924f_f_1_0_0,SCAL,18,The numbers,"['1', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['geometry', 'number-theory', 'euclidean-geometry', 'math-history', 'irrational-numbers']"
632fb8d9837ac920af6bbad6_f_1_6_0,FUNC,C,the transformation maps,['C'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'triangles']"
632f833d837ac920af66a059_f_0_14_0,FUNC,B,linear map,['B'],"['func_name', '__ANON_0']","['real-analysis', 'linear-algebra', 'analysis', 'derivatives', 'euclidean-geometry']"
632fb8d9837ac920af6bbc6c_f_1_32_0,FUNC,X,a decreasing function,['X'],"['func_name', '__ANON_0']","['geometry', 'inequality', 'euclidean-geometry', 'geometric-inequalities']"
63300bbc837ac920af73febd_f_3_24_0,SCAL,(u-h)/(v-h),the fraction,"['(', 'u', '-', 'h', ')', '/', '(', 'v', '-', 'h', ')']","['mp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'DIV', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN']","['geometry', 'euclidean-geometry', 'projective-geometry', 'polygons']"
632fe8bd837ac920af70a11d_f_0_4_0,FUNC,f,a map,['f'],"['func_name', '__ANON_1']","['reference-request', 'euclidean-geometry', 'solution-verification', 'coordinate-systems', 'transformation']"
632fe8bf837ac920af70ac65_f_1_0_0,FUNC,f,The function,['f'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'projective-geometry', 'affine-geometry']"
63300bc1837ac920af7413c6_f_0_18_0,FUNC,f: \mathbb{R}^2 \rightarrow \mathbb{R}^2,the function,"['f', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['euclidean-geometry', 'definition']"
63300bc1837ac920af7413c6_f_1_0_0,FUNC,f : \mathbb R^2 \to \mathbb R^2,a function,"['f', ':', '\\mathbb', 'R', '^', '2', '\\to', '\\mathbb', 'R', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['euclidean-geometry', 'definition']"
63300bc1837ac920af7413c6_f_1_30_0,FUNC,f : \mathbb E \to \mathbb R^2,yet ) then the function,"['f', ':', '\\mathbb', 'E', '\\to', '\\mathbb', 'R', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['euclidean-geometry', 'definition']"
632f834a837ac920af66f3cb_f_0_6_0,SCAL,2 ,that   f_0_5_0 numbers,2,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'relations', 'equivalence-relations']"
63300bc3837ac920af741c41_f_0_1_0,SCAL,0 ,the number   f_0_0,0,"['expr_atom', '__ANON_3']","['field-theory', 'euclidean-geometry', 'radicals']"
632fb8df837ac920af6be7a8_f_0_6_0,SCAL,1/x,the number   f_0_6_0,"['1', '/', 'x']","['mp', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1']","['arithmetic', 'euclidean-geometry']"
632fe8c2837ac920af70c183_f_1_8_0,FUNC,E,certain functions,['E'],"['func_name', '__ANON_0']","['differential-geometry', 'metric-spaces', 'manifolds', 'euclidean-geometry', 'smooth-manifolds']"
632fb8e2837ac920af6bf7bf_f_0_43_0,FUNC,L,a function   f_0_43_0,['L'],"['func_name', '__ANON_0']","['linear-algebra', 'euclidean-geometry']"
632fb8e3837ac920af6c03fc_f_1_27_0,FUNC,r,a continuous function,['r'],"['func_name', '__ANON_1']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f89fc837ac920af67416e_f_0_0_0,SET,\mathbb R^3,the set,"['\\mathbb', 'R', '^', '3']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']","['geometry', 'vector-spaces', 'metric-spaces', 'euclidean-geometry', 'real-numbers']"
632f89fc837ac920af67416e_f_0_2_0,FUNC,d:\mathbb R^3 \times \mathbb R^3 \rightarrow \mathbb R,a function,"['d', ':', '\\mathbb', 'R', '^', '3', '\\times', '\\mathbb', 'R', '^', '3', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'sets__OP_CART', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'SET_FAT', '__ANON_0']","['geometry', 'vector-spaces', 'metric-spaces', 'euclidean-geometry', 'real-numbers']"
632fe8c5837ac920af70d398_f_1_7_0,FUNC,D,that   f_1_6_0   maps   f_1_7_0,['D'],"['func_name', '__ANON_0']","['multivariable-calculus', 'differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'area']"
632fb8e6837ac920af6c14b5_f_0_3_0,FUNC,d:V\times V\to \mathbb{R},a function   f_0_3_0,"['d', ':', 'V', '\\times', 'V', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['multivariable-calculus', 'functions', 'euclidean-geometry', 'normed-spaces', 'vector-analysis']"
632ff012837ac920af70d894_f_0_1_0,FUNC,f:U \to U,a smooth map,"['f', ':', 'U', '\\to', 'U']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['real-analysis', 'multivariable-calculus', 'euclidean-geometry', 'affine-geometry']"
632f89ff837ac920af6758a3_f_1_2_0,FUNC,f: R\to E^3,a 1- f_1_1_0 continuous map   f_1_2_0,"['f', ':', 'R', '\\to', 'E', '^', '3']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'CARET', '__ANON_3']","['differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'hyperbolic-geometry', 'general-relativity']"
